Metric,fftinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed41.loki.76149.log,fftinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed42.loki.76150.log,fftinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed43.loki.76151.log,fftinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed44.loki.76152.log,fftinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed45.loki.76153.log
AUC-PR | 'No Finding' (Testing),0.72287,0.73089,0.72453,0.72856,0.7227
AUC-PR | 'Others' (Testing),0.31508,0.31458,0.30898,0.30778,0.31841
AUC-PR | 'Pleural Effusion' (Testing),0.7267,0.7365,0.72964,0.73173,0.7304
AUC-ROC | 'No Finding' (Testing),0.8548,0.85731,0.85388,0.85582,0.8547
AUC-ROC | 'Others' (Testing),0.7907,0.79161,0.78893,0.78631,0.79329
AUC-ROC | 'Pleural Effusion' (Testing),0.89388,0.89747,0.89566,0.89467,0.89414
J Index Max | 'No Finding' (Testing),0.56745,0.5737,0.56948,0.57085,0.56594
J Index Max | 'Others' (Testing),0.45594,0.45928,0.45559,0.45128,0.4606
J Index Max | 'Pleural Effusion' (Testing),0.63335,0.63632,0.63209,0.63755,0.63251
J Index at 20% FPR | 'No Finding' (Testing),0.56637,0.57305,0.56675,0.56413,0.563
J Index at 20% FPR | 'Others' (Testing),0.41553,0.41946,0.41186,0.41391,0.42451
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.6283,0.63394,0.63097,0.63523,0.63031
Macro AUC-PR (Testing),0.37361,0.37446,0.36871,0.36811,0.37671
Macro AUC-PR (Validation - During Training),0.30236,0.3082,0.29135,0.30507,0.30475
Macro AUC-PR (Validation - Final),0.37001,0.36813,0.36515,0.36372,0.3727
Macro AUC-ROC (Testing),0.80265,0.80387,0.8012,0.79902,0.80488
Macro AUC-ROC (Validation - During Training),0.73061,0.73713,0.72154,0.73301,0.73817
Macro AUC-ROC (Validation - Final),0.80406,0.80131,0.80026,0.79773,0.80744
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26149,0.25926,0.26584,0.26278,0.26284
test_loss_step,0.28143,0.29588,0.31668,0.29804,0.30762
train_loss_epoch,0.09656,0.09573,0.09586,0.09509,0.09593
train_loss_step,0.09966,0.10923,0.10773,0.10475,0.09876
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26147,0.25991,0.26519,0.26398,0.26179
val_final_loss_step,0.2425,0.25922,0.28545,0.30371,0.3048
val_loss_epoch,0.49404,0.50639,0.52753,0.57877,0.51307
val_loss_step,0.23919,0.57558,0.35327,0.89876,0.50604
