Metric,fftinfer_on_mimic--cxrfmkd_fft_cs_multirun-seed41.luna.76486.log,fftinfer_on_mimic--cxrfmkd_fft_cs_multirun-seed42.luna.76487.log,fftinfer_on_mimic--cxrfmkd_fft_cs_multirun-seed43.luna.76488.log,fftinfer_on_mimic--cxrfmkd_fft_cs_multirun-seed44.luna.76489.log,fftinfer_on_mimic--cxrfmkd_fft_cs_multirun-seed45.luna.76490.log
AUC-PR | 'No Finding' (Testing),0.72187,0.72507,0.72447,0.72547,0.72969
AUC-PR | 'Others' (Testing),0.30628,0.31515,0.31428,0.31278,0.3121
AUC-PR | 'Pleural Effusion' (Testing),0.72428,0.73472,0.73316,0.72942,0.73263
AUC-ROC | 'No Finding' (Testing),0.85347,0.85557,0.85413,0.8555,0.85503
AUC-ROC | 'Others' (Testing),0.78655,0.78945,0.78959,0.78939,0.78926
AUC-ROC | 'Pleural Effusion' (Testing),0.89273,0.89482,0.89653,0.89353,0.89488
J Index Max | 'No Finding' (Testing),0.56723,0.57002,0.56879,0.57143,0.57138
J Index Max | 'Others' (Testing),0.4457,0.45389,0.45048,0.45231,0.44912
J Index Max | 'Pleural Effusion' (Testing),0.62808,0.62859,0.63496,0.62687,0.6387
J Index at 20% FPR | 'No Finding' (Testing),0.56603,0.56439,0.56466,0.56826,0.56898
J Index at 20% FPR | 'Others' (Testing),0.40968,0.41491,0.41417,0.41365,0.41735
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.62727,0.61994,0.63411,0.62523,0.63498
Macro AUC-PR (Testing),0.36582,0.3744,0.3735,0.37202,0.37196
Macro AUC-PR (Validation - During Training),0.29275,0.30746,0.30617,0.29679,0.30145
Macro AUC-PR (Validation - Final),0.36341,0.36889,0.36619,0.36626,0.3649
Macro AUC-ROC (Testing),0.79891,0.8017,0.80184,0.80155,0.8015
Macro AUC-ROC (Validation - During Training),0.7291,0.74073,0.73777,0.72446,0.73991
Macro AUC-ROC (Validation - Final),0.79986,0.80353,0.80348,0.80015,0.80133
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26298,0.26187,0.26222,0.26126,0.26084
test_loss_step,0.30695,0.29345,0.27951,0.28756,0.28065
train_loss_epoch,0.10049,0.09898,0.1008,0.10047,0.09944
train_loss_step,0.08841,0.13798,0.11533,0.13086,0.09762
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26325,0.26312,0.26317,0.26199,0.26217
val_final_loss_step,0.24907,0.23036,0.23366,0.30417,0.27968
val_loss_epoch,0.499,0.52027,0.47377,0.48427,0.47658
val_loss_step,0.38337,0.497,0.51241,0.3756,0.40121
