Metric,fftinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed41.loki.76501.log,fftinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed42.luna.76502.log,fftinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed43.loki.76503.log,fftinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed44.loki.76504.log,fftinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed45.loki.76505.log
AUC-PR | 'No Finding' (Testing),0.72388,0.72505,0.72387,0.72404,0.72962
AUC-PR | 'Others' (Testing),0.32105,0.31716,0.32103,0.31979,0.31473
AUC-PR | 'Pleural Effusion' (Testing),0.73504,0.73375,0.73411,0.73879,0.73718
AUC-ROC | 'No Finding' (Testing),0.85483,0.8556,0.85444,0.85559,0.85726
AUC-ROC | 'Others' (Testing),0.79306,0.79015,0.79416,0.79191,0.79111
AUC-ROC | 'Pleural Effusion' (Testing),0.89756,0.89709,0.89795,0.89943,0.89723
J Index Max | 'No Finding' (Testing),0.5694,0.57125,0.56852,0.57278,0.57195
J Index Max | 'Others' (Testing),0.45469,0.45477,0.4606,0.45495,0.45484
J Index Max | 'Pleural Effusion' (Testing),0.63721,0.63411,0.63454,0.64194,0.63701
J Index at 20% FPR | 'No Finding' (Testing),0.56842,0.57079,0.56601,0.56848,0.57098
J Index at 20% FPR | 'Others' (Testing),0.42515,0.42011,0.42387,0.41331,0.42103
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.635,0.63229,0.63068,0.63706,0.6333
Macro AUC-PR (Testing),0.3794,0.37605,0.37931,0.37859,0.37454
Macro AUC-PR (Validation - During Training),0.30095,0.30644,0.30899,0.3101,0.30441
Macro AUC-PR (Validation - Final),0.37264,0.37053,0.37184,0.36911,0.36793
Macro AUC-ROC (Testing),0.80494,0.80246,0.80588,0.80414,0.80342
Macro AUC-ROC (Validation - During Training),0.73846,0.75027,0.74716,0.75208,0.74576
Macro AUC-ROC (Validation - Final),0.80659,0.80536,0.80586,0.80499,0.80237
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26005,0.26021,0.26006,0.26042,0.25911
test_loss_step,0.30058,0.30426,0.29989,0.30293,0.29203
train_loss_epoch,0.1272,0.12662,0.12733,0.12776,0.12623
train_loss_step,0.14408,0.15637,0.12554,0.16829,0.12914
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26018,0.26079,0.261,0.26075,0.25994
val_final_loss_step,0.26736,0.26305,0.24919,0.26274,0.29562
val_loss_epoch,0.39144,0.45546,0.42286,0.46712,0.49762
val_loss_step,0.09995,0.20861,0.34981,0.33524,0.14606
