Metric,fftinfer_on_mimic--cxrmod_fft_multirun-seed41.luna.76126.log,fftinfer_on_mimic--cxrmod_fft_multirun-seed42.luna.76127.log,fftinfer_on_mimic--cxrmod_fft_multirun-seed43.luna.76128.log,fftinfer_on_mimic--cxrmod_fft_multirun-seed44.luna.76129.log,fftinfer_on_mimic--cxrmod_fft_multirun-seed45.luna.76130.log
AUC-PR | 'No Finding' (Testing),0.723,0.71807,0.71354,0.70302,0.71989
AUC-PR | 'Others' (Testing),0.31917,0.31812,0.30729,0.31051,0.31802
AUC-PR | 'Pleural Effusion' (Testing),0.72846,0.73158,0.72241,0.72696,0.73277
AUC-ROC | 'No Finding' (Testing),0.85317,0.85163,0.84575,0.84013,0.85318
AUC-ROC | 'Others' (Testing),0.78955,0.79028,0.78285,0.78462,0.79096
AUC-ROC | 'Pleural Effusion' (Testing),0.8951,0.89649,0.89039,0.89424,0.89736
J Index Max | 'No Finding' (Testing),0.56884,0.56337,0.55258,0.54117,0.56815
J Index Max | 'Others' (Testing),0.45258,0.45308,0.44053,0.44127,0.44977
J Index Max | 'Pleural Effusion' (Testing),0.63744,0.64232,0.63405,0.64103,0.63916
J Index at 20% FPR | 'No Finding' (Testing),0.56361,0.55814,0.54472,0.5369,0.56373
J Index at 20% FPR | 'Others' (Testing),0.41998,0.4215,0.40648,0.40822,0.41875
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.6348,0.64103,0.62743,0.63876,0.63608
Macro AUC-PR (Testing),0.37725,0.37622,0.36596,0.36829,0.37635
Macro AUC-PR (Validation - During Training),0.32079,0.30564,0.32139,0.3255,0.31251
Macro AUC-PR (Validation - Final),0.36973,0.36793,0.35919,0.35974,0.36918
Macro AUC-ROC (Testing),0.80163,0.80225,0.79502,0.79641,0.803
Macro AUC-ROC (Validation - During Training),0.76275,0.74662,0.75892,0.76632,0.75233
Macro AUC-ROC (Validation - Final),0.80451,0.80337,0.79476,0.7934,0.80655
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26483,0.26385,0.26744,0.2667,0.2639
test_loss_step,0.31489,0.32589,0.30254,0.31802,0.31922
train_loss_epoch,0.18017,0.18048,0.17906,0.18145,0.18093
train_loss_step,0.17009,0.19053,0.17735,0.17188,0.20955
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26393,0.26364,0.26725,0.26702,0.26401
val_final_loss_step,0.28848,0.31535,0.2735,0.27569,0.29647
val_loss_epoch,0.31782,0.31773,0.34265,0.35384,0.30877
val_loss_step,0.30159,0.22894,0.1887,0.1772,0.23685
