Metric,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed41.loki.76121.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed42.loki.76122.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed43.loki.76123.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed44.loki.76124.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed45.loki.76125.log
AUC-PR | 'No Finding' (Testing),0.71972,0.71965,0.71921,0.71959,0.7182
AUC-PR | 'Others' (Testing),0.30618,0.30656,0.30702,0.30593,0.30656
AUC-PR | 'Pleural Effusion' (Testing),0.72901,0.7297,0.72823,0.7292,0.7286
AUC-ROC | 'No Finding' (Testing),0.84905,0.84893,0.849,0.8488,0.84834
AUC-ROC | 'Others' (Testing),0.78286,0.78286,0.78376,0.78272,0.78318
AUC-ROC | 'Pleural Effusion' (Testing),0.89305,0.89332,0.89307,0.89322,0.89276
J Index Max | 'No Finding' (Testing),0.55798,0.55784,0.55867,0.55731,0.55694
J Index Max | 'Others' (Testing),0.43901,0.44075,0.44295,0.43995,0.44321
J Index Max | 'Pleural Effusion' (Testing),0.62508,0.62401,0.62748,0.62699,0.62556
J Index at 20% FPR | 'No Finding' (Testing),0.5566,0.55563,0.55838,0.55595,0.55684
J Index at 20% FPR | 'Others' (Testing),0.4082,0.4101,0.41179,0.40828,0.41187
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.6213,0.62234,0.62339,0.62398,0.62284
Macro AUC-PR (Testing),0.36592,0.36629,0.36655,0.36571,0.36611
Macro AUC-PR (Validation - During Training),0.36084,0.36127,0.3613,0.3613,0.36121
Macro AUC-PR (Validation - Final),0.36124,0.36127,0.3615,0.36126,0.36138
Macro AUC-ROC (Testing),0.79546,0.79547,0.79623,0.79533,0.79566
Macro AUC-ROC (Validation - During Training),0.79508,0.79591,0.7955,0.79605,0.79565
Macro AUC-ROC (Validation - Final),0.79435,0.79591,0.79546,0.79586,0.79633
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26204,0.26185,0.26183,0.26213,0.26192
test_loss_step,0.30432,0.30179,0.30125,0.302,0.30089
train_loss_epoch,0.25862,0.2585,0.2584,0.25848,0.25856
train_loss_step,0.2896,0.24676,0.25116,0.28589,0.26227
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26317,0.26311,0.26313,0.2632,0.26316
val_final_loss_step,0.3094,0.31725,0.31771,0.30738,0.3186
val_loss_epoch,0.26334,0.26311,0.26346,0.26364,0.26345
val_loss_step,0.31343,0.31725,0.29292,0.31761,0.30456
