Metric,lpinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed41.mira01.76580.log,lpinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed42.luna.76581.log,lpinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed43.luna.76582.log,lpinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed44.luna.76583.log,lpinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed45.luna.76584.log
AUC-PR | 'No Finding' (Testing),0.71714,0.71696,0.71694,0.71688,0.71729
AUC-PR | 'Others' (Testing),0.30332,0.30318,0.30207,0.30326,0.30293
AUC-PR | 'Pleural Effusion' (Testing),0.71983,0.72013,0.71948,0.71981,0.71973
AUC-ROC | 'No Finding' (Testing),0.84821,0.8482,0.84802,0.84828,0.84826
AUC-ROC | 'Others' (Testing),0.78185,0.78156,0.78149,0.78174,0.78166
AUC-ROC | 'Pleural Effusion' (Testing),0.89135,0.89131,0.89119,0.89135,0.8913
J Index Max | 'No Finding' (Testing),0.56576,0.56541,0.56557,0.56631,0.56609
J Index Max | 'Others' (Testing),0.44208,0.44067,0.44023,0.44102,0.4403
J Index Max | 'Pleural Effusion' (Testing),0.62949,0.6284,0.62929,0.62906,0.62881
J Index at 20% FPR | 'No Finding' (Testing),0.55764,0.55775,0.55616,0.55744,0.5574
J Index at 20% FPR | 'Others' (Testing),0.39856,0.39985,0.39682,0.39879,0.39842
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.62193,0.62177,0.62205,0.62233,0.62435
Macro AUC-PR (Testing),0.36263,0.36252,0.36151,0.36256,0.3623
Macro AUC-PR (Validation - During Training),0.3579,0.35773,0.35776,0.35785,0.35779
Macro AUC-PR (Validation - Final),0.3579,0.35773,0.35764,0.35785,0.35761
Macro AUC-ROC (Testing),0.79441,0.79416,0.79408,0.79432,0.79424
Macro AUC-ROC (Validation - During Training),0.79321,0.79306,0.79315,0.79316,0.79315
Macro AUC-ROC (Validation - Final),0.79321,0.79306,0.79298,0.79316,0.79312
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26285,0.26277,0.26288,0.26281,0.26286
test_loss_step,0.30346,0.30324,0.30464,0.30364,0.30425
train_loss_epoch,0.2608,0.26055,0.2607,0.26054,0.26065
train_loss_step,0.2487,0.25997,0.247,0.27954,0.2376
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26394,0.26388,0.26391,0.26384,0.26388
val_final_loss_step,0.27713,0.27812,0.27889,0.27783,0.27639
val_loss_epoch,0.26394,0.26388,0.26395,0.26384,0.26389
val_loss_step,0.27713,0.27812,0.27483,0.27783,0.27032
