Metric,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse_multirun-seed41.loki.76093.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse_multirun-seed42.loki.76094.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse_multirun-seed43.luna.76095.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse_multirun-seed44.luna.76096.log,lpinfer_on_mimic--cxrfmkd1664to14_fft_mse_multirun-seed45.luna.76097.log
AUC-PR | 'No Finding' (Testing),0.7206,0.72024,0.72022,0.72021,0.71965
AUC-PR | 'Others' (Testing),0.30167,0.30214,0.30229,0.30115,0.30127
AUC-PR | 'Pleural Effusion' (Testing),0.72204,0.72204,0.72125,0.72273,0.72048
AUC-ROC | 'No Finding' (Testing),0.85035,0.85019,0.85044,0.84988,0.84987
AUC-ROC | 'Others' (Testing),0.78578,0.78584,0.7864,0.78555,0.78609
AUC-ROC | 'Pleural Effusion' (Testing),0.89199,0.89196,0.8921,0.89221,0.89175
J Index Max | 'No Finding' (Testing),0.56545,0.56393,0.56279,0.56401,0.56464
J Index Max | 'Others' (Testing),0.44444,0.44749,0.44831,0.44499,0.44693
J Index Max | 'Pleural Effusion' (Testing),0.62373,0.62577,0.62446,0.6256,0.62675
J Index at 20% FPR | 'No Finding' (Testing),0.56461,0.56222,0.56003,0.56354,0.56071
J Index at 20% FPR | 'Others' (Testing),0.40671,0.40688,0.41179,0.40622,0.41045
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.61978,0.61762,0.61828,0.61834,0.6185
Macro AUC-PR (Testing),0.36162,0.362,0.36207,0.36119,0.36109
Macro AUC-PR (Validation - During Training),0.36152,0.36177,0.36172,0.36152,0.36188
Macro AUC-PR (Validation - Final),0.36141,0.36177,0.36086,0.36165,0.36087
Macro AUC-ROC (Testing),0.79798,0.79801,0.79852,0.79776,0.79819
Macro AUC-ROC (Validation - During Training),0.79645,0.79703,0.79686,0.79705,0.79719
Macro AUC-ROC (Validation - Final),0.79566,0.79703,0.79695,0.79719,0.79775
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.26215,0.26216,0.26198,0.26212,0.26222
test_loss_step,0.31491,0.31127,0.31278,0.3112,0.31405
train_loss_epoch,0.25938,0.25933,0.25922,0.25932,0.25943
train_loss_step,0.29019,0.24934,0.24869,0.28231,0.25632
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.26297,0.26298,0.26293,0.26291,0.26297
val_final_loss_step,0.29192,0.30143,0.29535,0.29475,0.29677
val_loss_epoch,0.26318,0.26298,0.26323,0.26351,0.26305
val_loss_step,0.30185,0.30143,0.28237,0.30823,0.28588
