Metric,zsinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed41.loki.76212.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed42.loki.76213.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed43.loki.76214.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed44.loki.76215.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_cs_multirun-seed45.loki.76216.log
AUC-PR | 'No Finding' (Testing),0.68074,0.68074,0.68074,0.68074,0.68074
AUC-PR | 'Others' (Testing),0.26126,0.26126,0.26126,0.26126,0.26126
AUC-PR | 'Pleural Effusion' (Testing),0.69732,0.69732,0.69732,0.69732,0.69732
AUC-ROC | 'No Finding' (Testing),0.82906,0.82906,0.82906,0.82906,0.82906
AUC-ROC | 'Others' (Testing),0.74043,0.74043,0.74043,0.74043,0.74043
AUC-ROC | 'Pleural Effusion' (Testing),0.88349,0.88349,0.88349,0.88349,0.88349
J Index Max | 'No Finding' (Testing),0.53083,0.53083,0.53083,0.53083,0.53083
J Index Max | 'Others' (Testing),0.37978,0.37978,0.37978,0.37978,0.37978
J Index Max | 'Pleural Effusion' (Testing),0.62431,0.62431,0.62431,0.62431,0.62431
J Index at 20% FPR | 'No Finding' (Testing),0.52961,0.52961,0.52961,0.52961,0.52961
J Index at 20% FPR | 'Others' (Testing),0.33258,0.33258,0.33258,0.33258,0.33258
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.62091,0.62091,0.62091,0.62091,0.62091
Macro AUC-PR (Testing),0.32237,0.32237,0.32237,0.32237,0.32237
Macro AUC-PR (Validation - Final),0.32056,0.32056,0.32056,0.32056,0.32056
Macro AUC-ROC (Testing),0.75698,0.75698,0.75698,0.75698,0.75698
Macro AUC-ROC (Validation - Final),0.75286,0.75286,0.75286,0.75286,0.75286
epoch,0,0,0,0,0
test_loss_epoch,0.30048,0.30048,0.30048,0.30048,0.30048
test_loss_step,0.3132,0.3132,0.3132,0.3132,0.3132
trainer/global_step,0,0,0,0,0
val_final_loss_epoch,0.30206,0.30206,0.30206,0.30206,0.30206
val_final_loss_step,0.14638,0.14638,0.14638,0.14638,0.14638
