Metric,zsinfer_on_mimic--cxrfmkd1664to14_lp_cs_multirun-seed41.luna.76207.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_cs_multirun-seed42.luna.76208.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_cs_multirun-seed43.luna.76209.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_cs_multirun-seed44.luna.76210.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_cs_multirun-seed45.luna.76211.log
AUC-PR | 'No Finding' (Testing),0.66093,0.66093,0.66093,0.66093,0.66093
AUC-PR | 'Others' (Testing),0.23224,0.23224,0.23224,0.23224,0.23224
AUC-PR | 'Pleural Effusion' (Testing),0.65276,0.65276,0.65276,0.65276,0.65276
AUC-ROC | 'No Finding' (Testing),0.81745,0.81745,0.81745,0.81745,0.81745
AUC-ROC | 'Others' (Testing),0.69716,0.69716,0.69716,0.69716,0.69716
AUC-ROC | 'Pleural Effusion' (Testing),0.85752,0.85752,0.85752,0.85752,0.85752
J Index Max | 'No Finding' (Testing),0.49873,0.49873,0.49873,0.49873,0.49873
J Index Max | 'Others' (Testing),0.30847,0.30847,0.30847,0.30847,0.30847
J Index Max | 'Pleural Effusion' (Testing),0.56846,0.56846,0.56846,0.56846,0.56846
J Index at 20% FPR | 'No Finding' (Testing),0.49386,0.49386,0.49386,0.49386,0.49386
J Index at 20% FPR | 'Others' (Testing),0.26679,0.26679,0.26679,0.26679,0.26679
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56138,0.56138,0.56138,0.56138,0.56138
Macro AUC-PR (Testing),0.2929,0.2929,0.2929,0.2929,0.2929
Macro AUC-PR (Validation - Final),0.29027,0.29027,0.29027,0.29027,0.29027
Macro AUC-ROC (Testing),0.7172,0.7172,0.7172,0.7172,0.7172
Macro AUC-ROC (Validation - Final),0.71849,0.71849,0.71849,0.71849,0.71849
epoch,0,0,0,0,0
test_loss_epoch,0.3135,0.3135,0.3135,0.3135,0.3135
test_loss_step,0.32073,0.32073,0.32073,0.32073,0.32073
trainer/global_step,0,0,0,0,0
val_final_loss_epoch,0.3144,0.3144,0.3144,0.3144,0.3144
val_final_loss_step,0.17737,0.17737,0.17737,0.17737,0.17737
