Metric,zsinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed41.luna.76232.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed42.luna.76233.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed43.luna.76234.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed44.luna.76235.log,zsinfer_on_mimic--cxrfmkd1664to14_fft_mse&cs_multirun-seed45.luna.76236.log
AUC-PR | 'No Finding' (Testing),0.67359,0.67359,0.67359,0.67359,0.67359
AUC-PR | 'Others' (Testing),0.26751,0.26751,0.26751,0.26751,0.26751
AUC-PR | 'Pleural Effusion' (Testing),0.68727,0.68727,0.68727,0.68727,0.68727
AUC-ROC | 'No Finding' (Testing),0.82792,0.82792,0.82792,0.82792,0.82792
AUC-ROC | 'Others' (Testing),0.74409,0.74409,0.74409,0.74409,0.74409
AUC-ROC | 'Pleural Effusion' (Testing),0.8775,0.8775,0.8775,0.8775,0.8775
J Index Max | 'No Finding' (Testing),0.52331,0.52331,0.52331,0.52331,0.52331
J Index Max | 'Others' (Testing),0.38125,0.38125,0.38125,0.38125,0.38125
J Index Max | 'Pleural Effusion' (Testing),0.60705,0.60705,0.60705,0.60705,0.60705
J Index at 20% FPR | 'No Finding' (Testing),0.5126,0.5126,0.5126,0.5126,0.5126
J Index at 20% FPR | 'Others' (Testing),0.3466,0.3466,0.3466,0.3466,0.3466
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.59996,0.59996,0.59996,0.59996,0.59996
Macro AUC-PR (Testing),0.3265,0.3265,0.3265,0.3265,0.3265
Macro AUC-PR (Validation - Final),0.32213,0.32213,0.32213,0.32213,0.32213
Macro AUC-ROC (Testing),0.75961,0.75961,0.75961,0.75961,0.75961
Macro AUC-ROC (Validation - Final),0.75674,0.75674,0.75674,0.75674,0.75674
epoch,0,0,0,0,0
test_loss_epoch,0.30156,0.30156,0.30156,0.30156,0.30156
test_loss_step,0.30287,0.30287,0.30287,0.30287,0.30287
trainer/global_step,0,0,0,0,0
val_final_loss_epoch,0.30452,0.30452,0.30452,0.30452,0.30452
val_final_loss_step,0.21463,0.21463,0.21463,0.21463,0.21463
