Metric,zsinfer_on_mimic--cxrfmkd1664to14_lp_mse&cs_multirun-seed41.loki.76227.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_mse&cs_multirun-seed42.loki.76228.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_mse&cs_multirun-seed43.loki.76229.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_mse&cs_multirun-seed44.loki.76230.log,zsinfer_on_mimic--cxrfmkd1664to14_lp_mse&cs_multirun-seed45.mira01.76231.log
AUC-PR | 'No Finding' (Testing),0.67029,0.67029,0.67029,0.67029,0.67029
AUC-PR | 'Others' (Testing),0.23231,0.23231,0.23231,0.23231,0.23231
AUC-PR | 'Pleural Effusion' (Testing),0.66203,0.66203,0.66203,0.66203,0.66203
AUC-ROC | 'No Finding' (Testing),0.82049,0.82049,0.82049,0.82049,0.82049
AUC-ROC | 'Others' (Testing),0.70135,0.70135,0.70135,0.70135,0.70135
AUC-ROC | 'Pleural Effusion' (Testing),0.85992,0.85992,0.85992,0.85992,0.85992
J Index Max | 'No Finding' (Testing),0.5065,0.5065,0.5065,0.5065,0.5065
J Index Max | 'Others' (Testing),0.31105,0.31105,0.31105,0.31105,0.31105
J Index Max | 'Pleural Effusion' (Testing),0.57263,0.57263,0.57263,0.57263,0.57263
J Index at 20% FPR | 'No Finding' (Testing),0.50118,0.50118,0.50118,0.50118,0.50118
J Index at 20% FPR | 'Others' (Testing),0.27405,0.27405,0.27405,0.27405,0.27405
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56792,0.56792,0.56792,0.56792,0.56792
Macro AUC-PR (Testing),0.29429,0.29429,0.29429,0.29429,0.29429
Macro AUC-PR (Validation - Final),0.29059,0.29059,0.29059,0.29059,0.29059
Macro AUC-ROC (Testing),0.72119,0.72119,0.72119,0.72119,0.72119
Macro AUC-ROC (Validation - Final),0.71912,0.71912,0.71912,0.71912,0.71912
epoch,0,0,0,0,0
test_loss_epoch,0.31689,0.31689,0.31689,0.31689,0.31689
test_loss_step,0.32451,0.32451,0.32451,0.32451,0.32451
trainer/global_step,0,0,0,0,0
val_final_loss_epoch,0.31748,0.31748,0.31748,0.31748,0.31748
val_final_loss_step,0.18655,0.18655,0.18655,0.18655,0.18655
