Metric,zsinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed41.luna.76222.log,zsinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed42.luna.76223.log,zsinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed43.luna.76224.log,zsinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed44.luna.76225.log,zsinfer_on_mimic--cxrfmkd_fft_mse&cs_multirun-seed45.luna.76226.log
AUC-PR | 'No Finding' (Testing),0.67742,0.67742,0.67742,0.67742,0.67742
AUC-PR | 'Others' (Testing),0.24984,0.24984,0.24984,0.24984,0.24984
AUC-PR | 'Pleural Effusion' (Testing),0.66624,0.66624,0.66624,0.66624,0.66624
AUC-ROC | 'No Finding' (Testing),0.82868,0.82868,0.82868,0.82868,0.82868
AUC-ROC | 'Others' (Testing),0.72968,0.72968,0.72968,0.72968,0.72968
AUC-ROC | 'Pleural Effusion' (Testing),0.87196,0.87196,0.87196,0.87196,0.87196
J Index Max | 'No Finding' (Testing),0.52987,0.52987,0.52987,0.52987,0.52987
J Index Max | 'Others' (Testing),0.36278,0.36278,0.36278,0.36278,0.36278
J Index Max | 'Pleural Effusion' (Testing),0.59972,0.59972,0.59972,0.59972,0.59972
J Index at 20% FPR | 'No Finding' (Testing),0.52128,0.52128,0.52128,0.52128,0.52128
J Index at 20% FPR | 'Others' (Testing),0.3234,0.3234,0.3234,0.3234,0.3234
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.5933,0.5933,0.5933,0.5933,0.5933
Macro AUC-PR (Testing),0.31013,0.31013,0.31013,0.31013,0.31013
Macro AUC-PR (Validation - Final),0.31353,0.31353,0.31353,0.31353,0.31353
Macro AUC-ROC (Testing),0.74692,0.74692,0.74692,0.74692,0.74692
Macro AUC-ROC (Validation - Final),0.74597,0.74597,0.74597,0.74597,0.74597
epoch,0,0,0,0,0
test_loss_epoch,0.31705,0.31705,0.31705,0.31705,0.31705
test_loss_step,0.32804,0.32804,0.32804,0.32804,0.32804
trainer/global_step,0,0,0,0,0
val_final_loss_epoch,0.31889,0.31889,0.31889,0.31889,0.31889
val_final_loss_step,0.18198,0.18198,0.18198,0.18198,0.18198
