Metric,zsinfer_on_mimic--cxrfmkd_lp_mse&cs_multirun-seed41.deepmedic3.76217.log,zsinfer_on_mimic--cxrfmkd_lp_mse&cs_multirun-seed42.luna.76218.log,zsinfer_on_mimic--cxrfmkd_lp_mse&cs_multirun-seed43.luna.76219.log,zsinfer_on_mimic--cxrfmkd_lp_mse&cs_multirun-seed44.mira01.76220.log,zsinfer_on_mimic--cxrfmkd_lp_mse&cs_multirun-seed45.mira01.76221.log
AUC-PR | 'No Finding' (Testing),0.66239,0.66239,0.66239,0.66239,0.66239
AUC-PR | 'Others' (Testing),0.2283,0.2283,0.2283,0.2283,0.2283
AUC-PR | 'Pleural Effusion' (Testing),0.65454,0.65454,0.65454,0.65454,0.65454
AUC-ROC | 'No Finding' (Testing),0.81397,0.81397,0.81397,0.81397,0.81397
AUC-ROC | 'Others' (Testing),0.69183,0.69183,0.69183,0.69183,0.69183
AUC-ROC | 'Pleural Effusion' (Testing),0.85543,0.85543,0.85543,0.85543,0.85543
J Index Max | 'No Finding' (Testing),0.49408,0.49408,0.49408,0.49408,0.49408
J Index Max | 'Others' (Testing),0.29901,0.29901,0.29901,0.29901,0.29901
J Index Max | 'Pleural Effusion' (Testing),0.56253,0.56253,0.56253,0.56253,0.56253
J Index at 20% FPR | 'No Finding' (Testing),0.49309,0.49309,0.49309,0.49309,0.49309
J Index at 20% FPR | 'Others' (Testing),0.25544,0.25544,0.25544,0.25544,0.25544
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.54977,0.54977,0.54977,0.54977,0.54977
Macro AUC-PR (Testing),0.28975,0.28975,0.28975,0.28975,0.28975
Macro AUC-PR (Validation - Final),0.28859,0.28859,0.28859,0.28859,0.28859
Macro AUC-ROC (Testing),0.71224,0.71224,0.71224,0.71224,0.71224
Macro AUC-ROC (Validation - Final),0.71515,0.71515,0.71515,0.71515,0.71515
epoch,0,0,0,0,0
test_loss_epoch,0.31842,0.31842,0.31842,0.31842,0.31842
test_loss_step,0.31682,0.31682,0.31682,0.31682,0.31682
trainer/global_step,0,0,0,0,0
val_final_loss_epoch,0.31846,0.31846,0.31846,0.31846,0.31846
val_final_loss_step,0.18262,0.1826,0.1826,0.1826,0.1826
