Metric,chexpert--cxrfmkd_kdinit_huberloss_multirun-seed41.luna.69957.log,chexpert--cxrfmkd_kdinit_huberloss_multirun-seed42.luna.69958.log,chexpert--cxrfmkd_kdinit_huberloss_multirun-seed43.luna.69959.log,chexpert--cxrfmkd_kdinit_huberloss_multirun-seed44.luna.69960.log,chexpert--cxrfmkd_kdinit_huberloss_multirun-seed45.luna.69961.log,mimic--cxrfmkd_kdinit_huberloss_multirun-seed41.loki.70990.log,mimic--cxrfmkd_kdinit_huberloss_multirun-seed42.loki.70991.log,mimic--cxrfmkd_kdinit_huberloss_multirun-seed43.loki.70992.log,mimic--cxrfmkd_kdinit_huberloss_multirun-seed44.loki.70993.log,mimic--cxrfmkd_kdinit_huberloss_multirun-seed45.loki.70994.log
epoch,40,40,40,40,40,40,40,40,40,40
learning_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_loss_epoch,0.04699,0.04652,0.04758,0.04627,0.04802,0.04025,0.04037,0.04015,0.04026,0.04043
test_loss_step,0.04716,0.0454,0.04925,0.04671,0.04923,0.04094,0.03722,0.04256,0.03749,0.04059
train_loss_epoch,0.03759,0.03758,0.03979,0.03772,0.04001,0.03464,0.03445,0.03454,0.03455,0.03455
train_loss_step,0.03952,0.03847,0.04272,0.03799,0.04097,0.03485,0.03634,0.03523,0.03706,0.03532
trainer/global_step,23840,23840,23840,23840,23840,34480,34480,34480,34480,34480
val_final_loss_epoch,0.04672,0.04681,0.04762,0.0469,0.04773,0.04054,0.04041,0.04044,0.04046,0.0403
val_final_loss_step,0.04817,0.04792,0.05178,0.04523,0.04765,0.04084,0.04314,0.03915,0.04066,0.04098
val_loss_epoch,0.04673,0.04681,0.04762,0.0469,0.04777,0.04054,0.04041,0.04044,0.04046,0.04031
val_loss_step,0.04821,0.04792,0.05178,0.04517,0.04784,0.04084,0.04334,0.03915,0.04066,0.04108
