Metric,chexpert--cxrfmkd_kdinit_mse&cosinesim_multirun-seed41.loki.69997.log,chexpert--cxrfmkd_kdinit_mse&cosinesim_multirun-seed42.loki.69998.log,chexpert--cxrfmkd_kdinit_mse&cosinesim_multirun-seed43.loki.69999.log,chexpert--cxrfmkd_kdinit_mse&cosinesim_multirun-seed44.loki.70000.log,chexpert--cxrfmkd_kdinit_mse&cosinesim_multirun-seed45.loki.70001.log,mimic--cxrfmkd_kdinit_mse&cosinesim_multirun-seed41.luna.71039.log,mimic--cxrfmkd_kdinit_mse&cosinesim_multirun-seed42.luna.71040.log,mimic--cxrfmkd_kdinit_mse&cosinesim_multirun-seed43.luna.71041.log,mimic--cxrfmkd_kdinit_mse&cosinesim_multirun-seed44.luna.71042.log,mimic--cxrfmkd_kdinit_mse&cosinesim_multirun-seed45.luna.71044.log
epoch,40,40,40,40,40,40,40,40,40,40
learning_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_loss_epoch,0.05232,0.05182,0.05378,0.05151,0.05209,0.04533,0.04527,0.04528,0.04528,0.04655
test_loss_step,0.0517,0.05057,0.05604,0.05197,0.05286,0.04635,0.04209,0.04759,0.04244,0.04712
train_loss_epoch,0.04152,0.04162,0.04531,0.0418,0.04162,0.03887,0.03876,0.03875,0.03885,0.04115
train_loss_step,0.04413,0.04266,0.04788,0.04173,0.04438,0.03857,0.04044,0.03972,0.04112,0.04189
trainer/global_step,23840,23840,23840,23840,23840,34480,34480,34480,34480,34480
val_final_loss_epoch,0.05189,0.05209,0.05408,0.05229,0.05237,0.04554,0.04532,0.04545,0.04548,0.04644
val_final_loss_step,0.05282,0.05435,0.05941,0.05026,0.05063,0.0455,0.04705,0.04392,0.04544,0.04687
val_loss_epoch,0.05189,0.05211,0.05408,0.05229,0.05242,0.04554,0.04532,0.04545,0.04548,0.04644
val_loss_step,0.05282,0.05453,0.05941,0.05026,0.05076,0.0455,0.04705,0.04392,0.04544,0.04691
