Metric,chexpert--cxrfmkd_kdinit_mse_multirun-seed41.luna.69866.log,chexpert--cxrfmkd_kdinit_mse_multirun-seed42.luna.69867.log,chexpert--cxrfmkd_kdinit_mse_multirun-seed43.luna.69868.log,chexpert--cxrfmkd_kdinit_mse_multirun-seed44.luna.69870.log,chexpert--cxrfmkd_kdinit_mse_multirun-seed45.luna.69871.log,mimic--cxrfmkd_kdinit_mse_multirun-seed41.luna.70922.log,mimic--cxrfmkd_kdinit_mse_multirun-seed42.luna.70923.log,mimic--cxrfmkd_kdinit_mse_multirun-seed43.luna.70924.log,mimic--cxrfmkd_kdinit_mse_multirun-seed44.luna.70925.log,mimic--cxrfmkd_kdinit_mse_multirun-seed45.luna.70926.log
epoch,40,40,40,40,40,40,40,40,40,40
learning_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_loss_epoch,0.09432,0.09319,0.09539,0.09245,0.09378,0.08075,0.0807,0.08073,0.08059,0.08092
test_loss_step,0.09563,0.09348,0.09902,0.09503,0.09618,0.08238,0.0735,0.08619,0.07568,0.08189
train_loss_epoch,0.07492,0.07497,0.07926,0.07511,0.07452,0.06912,0.06893,0.06908,0.06882,0.06879
train_loss_step,0.08083,0.07683,0.08452,0.07636,0.07914,0.06926,0.07223,0.07129,0.07282,0.07115
trainer/global_step,23840,23840,23840,23840,23840,34480,34480,34480,34480,34480
val_final_loss_epoch,0.0935,0.094,0.09614,0.094,0.09375,0.08112,0.081,0.08125,0.08104,0.08077
val_final_loss_step,0.09674,0.10291,0.10088,0.08841,0.09244,0.0808,0.08509,0.07713,0.08082,0.08026
val_loss_epoch,0.09353,0.09403,0.09614,0.09405,0.09377,0.08112,0.081,0.08125,0.08104,0.08077
val_loss_step,0.09661,0.10309,0.10088,0.08838,0.09254,0.0808,0.08509,0.07713,0.08082,0.08026
