Metric,chexpert--cxrfm_lp_multirun-seed41.loki.69872.log,chexpert--cxrfm_lp_multirun-seed42.loki.69873.log,chexpert--cxrfm_lp_multirun-seed43.loki.69874.log,chexpert--cxrfm_lp_multirun-seed44.loki.69875.log,chexpert--cxrfm_lp_multirun-seed45.loki.69876.log,mimic--cxrfm_lp_multirun-seed41.loki.70906.log,mimic--cxrfm_lp_multirun-seed42.loki.70907.log,mimic--cxrfm_lp_multirun-seed43.loki.70908.log,mimic--cxrfm_lp_multirun-seed44.loki.70909.log,mimic--cxrfm_lp_multirun-seed45.loki.70910.log
AUC-PR | 'No Finding' (Testing),0.39766,0.39414,0.38929,0.40108,0.39116,0.69894,0.69896,0.69696,0.69984,0.69978
AUC-PR | 'Others' (Testing),0.30919,0.3098,0.31083,0.30878,0.31035,0.26669,0.26682,0.26736,0.26372,0.26865
AUC-PR | 'Pleural Effusion' (Testing),0.74959,0.75289,0.75358,0.75194,0.75348,0.66877,0.66908,0.6669,0.66218,0.66578
AUC-ROC | 'No Finding' (Testing),0.85931,0.85776,0.85728,0.85931,0.8567,0.83657,0.83652,0.83677,0.83573,0.83671
AUC-ROC | 'Others' (Testing),0.73634,0.73623,0.73669,0.738,0.73371,0.74815,0.74902,0.74732,0.74756,0.74727
AUC-ROC | 'Pleural Effusion' (Testing),0.8313,0.83404,0.83445,0.83231,0.83387,0.86492,0.86491,0.86308,0.86096,0.86372
J Index Max | 'No Finding' (Testing),0.59721,0.59328,0.58393,0.58949,0.58189,0.53071,0.53028,0.53257,0.53643,0.53218
J Index Max | 'Others' (Testing),0.36334,0.36458,0.36401,0.36554,0.36162,0.38356,0.38336,0.38127,0.38242,0.3799
J Index Max | 'Pleural Effusion' (Testing),0.51136,0.51835,0.51981,0.5183,0.5167,0.5727,0.57134,0.56959,0.56367,0.56695
J Index at 20% FPR | 'No Finding' (Testing),0.59206,0.58089,0.57563,0.58125,0.57774,0.52303,0.5266,0.52468,0.53063,0.52928
J Index at 20% FPR | 'Others' (Testing),0.32454,0.32676,0.32328,0.32664,0.31891,0.33947,0.33857,0.33663,0.33127,0.33995
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.49363,0.50179,0.5028,0.49471,0.50481,0.5638,0.56598,0.5538,0.54857,0.56417
Macro AUC-PR (Testing),0.34697,0.34748,0.34806,0.34703,0.34777,0.32628,0.32642,0.32659,0.32333,0.32781
Macro AUC-PR (Validation - During Training),0.34692,0.3462,0.34701,0.34607,0.34726,0.31855,0.31796,0.31723,0.31689,0.31775
Macro AUC-PR (Validation - Final),0.34679,0.34639,0.34729,0.34459,0.34744,0.31897,0.31836,0.31866,0.31621,0.31871
Macro AUC-ROC (Testing),0.75191,0.7519,0.75229,0.7534,0.74965,0.7628,0.76355,0.76198,0.76196,0.76198
Macro AUC-ROC (Validation - During Training),0.74901,0.74742,0.74951,0.75023,0.74923,0.75882,0.75718,0.75575,0.75624,0.75732
Macro AUC-ROC (Validation - Final),0.75214,0.75306,0.75061,0.75197,0.7514,0.75914,0.75925,0.75832,0.75509,0.75745
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.3003,0.29977,0.3002,0.30062,0.30013,0.27872,0.27871,0.28158,0.27988,0.27999
test_loss_step,0.26126,0.25746,0.28,0.25527,0.24556,0.31844,0.31328,0.31901,0.31399,0.30528
train_loss_epoch,0.29509,0.2953,0.29443,0.29508,0.29519,0.27521,0.27563,0.27503,0.27535,0.27554
train_loss_step,0.28497,0.325,0.29654,0.29989,0.29617,0.29901,0.26961,0.30963,0.28915,0.23662
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29979,0.29961,0.30053,0.30047,0.30054,0.28066,0.28052,0.28255,0.28106,0.28191
val_final_loss_step,0.27303,0.25695,0.21125,0.22428,0.21645,0.30479,0.27345,0.24637,0.24747,0.25874
val_loss_epoch,0.30534,0.30331,0.30849,0.30267,0.30479,0.28313,0.28627,0.28309,0.28482,0.28313
val_loss_step,0.20372,0.23102,0.23986,0.2491,0.23425,0.26827,0.21975,0.26321,0.30858,0.27537
