Metric,chexpert--cxrfmkd1664to14_lp_cosinesim_multirun-seed41.loki.70303.log,chexpert--cxrfmkd1664to14_lp_cosinesim_multirun-seed42.loki.70304.log,chexpert--cxrfmkd1664to14_lp_cosinesim_multirun-seed43.loki.70305.log,chexpert--cxrfmkd1664to14_lp_cosinesim_multirun-seed44.loki.70306.log,chexpert--cxrfmkd1664to14_lp_cosinesim_multirun-seed45.loki.70307.log,mimic--cxrfmkd1664to14_lp_cosinesim_multirun-seed41.mira05.72269.log,mimic--cxrfmkd1664to14_lp_cosinesim_multirun-seed42.mira09.72270.log,mimic--cxrfmkd1664to14_lp_cosinesim_multirun-seed43.mira10.72271.log,mimic--cxrfmkd1664to14_lp_cosinesim_multirun-seed44.mira10.72272.log,mimic--cxrfmkd1664to14_lp_cosinesim_multirun-seed45.mira04.72273.log
AUC-PR | 'No Finding' (Testing),0.4228,0.4259,0.42429,0.42601,0.4238,0.70634,0.70696,0.70594,0.7073,0.70535
AUC-PR | 'Others' (Testing),0.32765,0.3281,0.32564,0.32825,0.32651,0.27644,0.27745,0.27775,0.27704,0.27651
AUC-PR | 'Pleural Effusion' (Testing),0.76905,0.76884,0.76768,0.76877,0.76897,0.68396,0.68486,0.68529,0.68342,0.68553
AUC-ROC | 'No Finding' (Testing),0.86586,0.86524,0.86593,0.86512,0.86393,0.84106,0.84122,0.84107,0.84159,0.8403
AUC-ROC | 'Others' (Testing),0.7556,0.75517,0.75433,0.75554,0.75554,0.75774,0.75858,0.75977,0.76001,0.75823
AUC-ROC | 'Pleural Effusion' (Testing),0.84516,0.84422,0.84459,0.845,0.84521,0.87193,0.87237,0.87245,0.87111,0.87148
J Index Max | 'No Finding' (Testing),0.60998,0.60473,0.61283,0.60997,0.60705,0.54851,0.54667,0.5444,0.54433,0.5391
J Index Max | 'Others' (Testing),0.3929,0.39379,0.39401,0.3962,0.39424,0.39622,0.40125,0.4009,0.40094,0.39856
J Index Max | 'Pleural Effusion' (Testing),0.53917,0.53301,0.5369,0.53343,0.53367,0.58927,0.59603,0.59011,0.59003,0.59086
J Index at 20% FPR | 'No Finding' (Testing),0.6082,0.60126,0.61034,0.60658,0.60321,0.54326,0.54417,0.54053,0.54011,0.53789
J Index at 20% FPR | 'Others' (Testing),0.35982,0.35582,0.35602,0.35889,0.35675,0.35975,0.35402,0.36506,0.36315,0.35963
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.52125,0.51799,0.51251,0.52332,0.51761,0.58334,0.57841,0.57826,0.57701,0.5766
Macro AUC-PR (Testing),0.36597,0.36657,0.36426,0.36669,0.36506,0.33626,0.33723,0.33744,0.3368,0.33636
Macro AUC-PR (Validation - During Training),0.36313,0.36161,0.36234,0.36216,0.36276,0.3329,0.33368,0.33378,0.33463,0.33365
Macro AUC-PR (Validation - Final),0.3647,0.36447,0.36456,0.36468,0.36451,0.33438,0.33508,0.33493,0.33515,0.33544
Macro AUC-ROC (Testing),0.76987,0.76939,0.76874,0.76976,0.76969,0.77184,0.77261,0.77363,0.77377,0.77218
Macro AUC-ROC (Validation - During Training),0.76565,0.76617,0.76634,0.76556,0.76621,0.7699,0.77153,0.77029,0.77122,0.77104
Macro AUC-ROC (Validation - Final),0.76867,0.76866,0.76853,0.76931,0.76891,0.77248,0.77351,0.77364,0.77388,0.77465
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.2891,0.28927,0.28954,0.2891,0.28957,0.27269,0.27247,0.27257,0.27305,0.27286
test_loss_step,0.24316,0.25095,0.24327,0.2599,0.24751,0.31171,0.30998,0.31244,0.31124,0.30643
train_loss_epoch,0.28217,0.28207,0.2819,0.28197,0.28205,0.26405,0.26394,0.26389,0.26402,0.26396
train_loss_step,0.27123,0.27087,0.30934,0.27786,0.29303,0.24769,0.28726,0.22958,0.25892,0.28621
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.28966,0.29003,0.29008,0.28983,0.29014,0.27297,0.27282,0.27311,0.27296,0.27269
val_final_loss_step,0.30856,0.27911,0.29736,0.28607,0.27244,0.21566,0.21453,0.24619,0.22695,0.2388
val_loss_epoch,0.2921,0.292,0.29154,0.29136,0.29123,0.27401,0.27397,0.27413,0.27377,0.27387
val_loss_step,0.29515,0.29763,0.28345,0.2818,0.30076,0.2394,0.23183,0.22588,0.21995,0.25887
