Metric,chexpert--cxrfmkd_lp_cosinesim_multirun-seed41.loki.70273.log,chexpert--cxrfmkd_lp_cosinesim_multirun-seed42.loki.70274.log,chexpert--cxrfmkd_lp_cosinesim_multirun-seed43.loki.70275.log,chexpert--cxrfmkd_lp_cosinesim_multirun-seed44.loki.70276.log,chexpert--cxrfmkd_lp_cosinesim_multirun-seed45.loki.70277.log,mimic--cxrfmkd_lp_cosinesim_multirun-seed41.loki.72493.log,mimic--cxrfmkd_lp_cosinesim_multirun-seed42.luna.72494.log,mimic--cxrfmkd_lp_cosinesim_multirun-seed43.luna.72495.log,mimic--cxrfmkd_lp_cosinesim_multirun-seed44.luna.72496.log,mimic--cxrfmkd_lp_cosinesim_multirun-seed45.mira01.72497.log
AUC-PR | 'No Finding' (Testing),0.35779,0.23957,0.36625,0.13381,0.18547,0.68869,0.68902,0.68888,0.30278,0.65113
AUC-PR | 'Others' (Testing),0.19556,0.22357,0.24492,0.2479,0.20928,0.19144,0.18075,0.16102,0.14826,0.12727
AUC-PR | 'Pleural Effusion' (Testing),0.75193,0.75377,0.75291,0.73734,0.7528,0.64245,0.24991,0.2499,0.24993,0.24991
AUC-ROC | 'No Finding' (Testing),0.83749,0.75842,0.84933,0.63826,0.71555,0.82842,0.83134,0.83184,0.5,0.80691
AUC-ROC | 'Others' (Testing),0.53653,0.56998,0.60512,0.59569,0.54542,0.58078,0.56944,0.55846,0.53283,0.51916
AUC-ROC | 'Pleural Effusion' (Testing),0.83527,0.83594,0.83334,0.82179,0.83608,0.84081,0.5,0.49994,0.49986,0.5
J Index Max | 'No Finding' (Testing),0.54351,0.40808,0.57409,0.25585,0.33588,0.51886,0.52785,0.52878,0.0,0.473
J Index Max | 'Others' (Testing),0.07162,0.11826,0.16361,0.16353,0.08965,0.12712,0.10761,0.08845,0.05378,0.02993
J Index Max | 'Pleural Effusion' (Testing),0.52514,0.52185,0.52071,0.49739,0.52241,0.53808,0.0,0.0,0.0001,0.0
J Index at 20% FPR | 'No Finding' (Testing),0.5399,0.35482,0.55362,0.24876,0.29797,0.51756,0.52645,0.52046,0.0,0.46279
J Index at 20% FPR | 'Others' (Testing),0.0468,0.09799,0.14732,0.1296,0.06672,0.11923,0.09898,0.07319,0.05144,0.02336
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.50438,0.50284,0.50547,0.4708,0.4977,0.52219,0.0,-0.00013,-0.00029,0.0
Macro AUC-PR (Testing),0.24689,0.26258,0.28987,0.27471,0.24641,0.25917,0.22199,0.20507,0.16656,0.17345
Macro AUC-PR (Validation - During Training),0.24592,0.25001,0.28274,0.26812,0.2388,0.26056,0.21656,0.20258,0.16454,0.17769
Macro AUC-PR (Validation - Final),0.24503,0.25907,0.29242,0.27142,0.24555,0.25588,0.22081,0.20408,0.16613,0.17333
Macro AUC-ROC (Testing),0.57937,0.60244,0.63886,0.61488,0.57834,0.61704,0.58319,0.57381,0.52813,0.53835
Macro AUC-ROC (Validation - During Training),0.57901,0.58345,0.62514,0.59866,0.56469,0.62002,0.57942,0.57119,0.52515,0.54121
Macro AUC-ROC (Validation - Final),0.5779,0.60025,0.63982,0.61447,0.57836,0.61654,0.58355,0.57277,0.52773,0.53833
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,7.67,4.78421,5.92108,3.44964,8.26344,5.12185,9.70675,9.63738,13.78965,20.19216
test_loss_step,4.02023,4.19307,7.32644,6.34168,12.45366,6.49157,12.80605,9.14346,17.03096,24.29585
train_loss_epoch,7.65722,5.06476,6.29371,4.1269,14.39962,9.43737,9.74765,9.73322,18.3409,20.09155
train_loss_step,9.18522,4.94663,7.46586,3.55899,13.83615,9.37137,8.41246,9.49797,16.60964,20.40164
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,7.55478,4.76937,5.87668,3.59196,8.34841,5.10735,9.69786,9.72881,13.79236,20.08409
val_final_loss_step,7.24777,0.30257,0.1613,0.62329,0.33255,0.38022,7.21523,14.43717,21.43048,14.38081
val_loss_epoch,7.5616,5.05319,6.42303,4.1096,14.42876,9.27614,9.72762,9.77291,18.41566,20.12045
val_loss_step,7.23647,0.33691,0.49181,0.47839,7.37461,7.28632,7.20641,14.45448,28.62026,14.48443
