Metric,chexpert--cxrfmkd1664to14_fft_huberloss_multirun-seed41.luna.70250.log,chexpert--cxrfmkd1664to14_fft_huberloss_multirun-seed42.luna.70251.log,chexpert--cxrfmkd1664to14_fft_huberloss_multirun-seed43.luna.70252.log,chexpert--cxrfmkd1664to14_fft_huberloss_multirun-seed44.luna.70253.log,chexpert--cxrfmkd1664to14_fft_huberloss_multirun-seed45.luna.70254.log,mimic--cxrfmkd1664to14_fft_huberloss_multirun-seed41.mira04.72240.log,mimic--cxrfmkd1664to14_fft_huberloss_multirun-seed42.mira05.72241.log,mimic--cxrfmkd1664to14_fft_huberloss_multirun-seed43.mira05.72242.log,mimic--cxrfmkd1664to14_fft_huberloss_multirun-seed44.mira09.72243.log,mimic--cxrfmkd1664to14_fft_huberloss_multirun-seed45.mira09.72244.log
AUC-PR | 'No Finding' (Testing),0.44504,0.44207,0.44599,0.44513,0.4423,0.7266,0.71982,0.72625,0.72608,0.7283
AUC-PR | 'Others' (Testing),0.35265,0.34571,0.34603,0.35232,0.34671,0.30671,0.30826,0.31041,0.30334,0.30168
AUC-PR | 'Pleural Effusion' (Testing),0.80542,0.80413,0.80264,0.80624,0.80298,0.73306,0.72718,0.72931,0.73137,0.72985
AUC-ROC | 'No Finding' (Testing),0.87962,0.87827,0.8794,0.88082,0.87932,0.85562,0.85188,0.85656,0.85504,0.85578
AUC-ROC | 'Others' (Testing),0.77615,0.77326,0.77101,0.77696,0.77287,0.78943,0.78975,0.79026,0.78609,0.78379
AUC-ROC | 'Pleural Effusion' (Testing),0.86908,0.8679,0.86731,0.86804,0.86697,0.89722,0.89368,0.89594,0.89416,0.89463
J Index Max | 'No Finding' (Testing),0.62418,0.6244,0.6261,0.62911,0.62404,0.57057,0.56532,0.57529,0.57215,0.57254
J Index Max | 'Others' (Testing),0.42857,0.42208,0.41718,0.42935,0.42286,0.44588,0.44966,0.45169,0.44239,0.44125
J Index Max | 'Pleural Effusion' (Testing),0.58108,0.57935,0.57453,0.57944,0.58047,0.63939,0.63195,0.63647,0.62841,0.62954
J Index at 20% FPR | 'No Finding' (Testing),0.62167,0.61761,0.62245,0.62575,0.61583,0.56901,0.56451,0.57432,0.56777,0.56926
J Index at 20% FPR | 'Others' (Testing),0.39559,0.39032,0.38609,0.39961,0.39031,0.42,0.42076,0.42121,0.41479,0.40321
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.57084,0.57067,0.56613,0.56631,0.5681,0.63697,0.62731,0.6346,0.62679,0.62743
Macro AUC-PR (Testing),0.39159,0.38534,0.38578,0.39137,0.38613,0.36716,0.36758,0.37003,0.36411,0.36274
Macro AUC-PR (Validation - During Training),0.32658,0.34054,0.33239,0.33467,0.33572,0.31595,0.31642,0.3137,0.31852,0.30748
Macro AUC-PR (Validation - Final),0.39259,0.38664,0.38801,0.39329,0.38781,0.36255,0.36412,0.36397,0.36215,0.35908
Macro AUC-ROC (Testing),0.79018,0.78752,0.78563,0.79089,0.7872,0.80186,0.80161,0.80255,0.79873,0.79685
Macro AUC-ROC (Validation - During Training),0.7324,0.74639,0.73867,0.73986,0.7384,0.75658,0.75788,0.75331,0.75904,0.75226
Macro AUC-ROC (Validation - Final),0.79225,0.78757,0.78859,0.79131,0.78812,0.7971,0.80004,0.79903,0.79758,0.79456
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27786,0.27639,0.27774,0.27592,0.27659,0.26056,0.26249,0.26012,0.26189,0.26117
test_loss_step,0.17363,0.217,0.23916,0.23228,0.20889,0.29988,0.31058,0.30994,0.31415,0.30926
train_loss_epoch,0.13515,0.13487,0.13388,0.13439,0.1332,0.15254,0.15112,0.1512,0.15126,0.15296
train_loss_step,0.13975,0.12933,0.15936,0.14609,0.14379,0.14443,0.16285,0.17369,0.15907,0.1543
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27896,0.27774,0.27768,0.27681,0.27834,0.26177,0.26252,0.26028,0.2621,0.2616
val_final_loss_step,0.25295,0.25233,0.24459,0.24009,0.22728,0.28327,0.24043,0.27614,0.25558,0.27281
val_loss_epoch,0.46383,0.45585,0.47665,0.49876,0.45782,0.37039,0.37863,0.37585,0.40619,0.36537
val_loss_step,0.21967,0.2281,0.04504,0.09113,0.12637,0.33638,0.43395,0.27762,0.27282,0.33988
