Metric,chexpert--cxrfmkd1664to14_lp_huberloss_multirun-seed41.loki.70264.log,chexpert--cxrfmkd1664to14_lp_huberloss_multirun-seed42.loki.70265.log,chexpert--cxrfmkd1664to14_lp_huberloss_multirun-seed43.loki.70269.log,chexpert--cxrfmkd1664to14_lp_huberloss_multirun-seed44.loki.70270.log,chexpert--cxrfmkd1664to14_lp_huberloss_multirun-seed45.loki.70271.log,mimic--cxrfmkd1664to14_lp_huberloss_multirun-seed41.mira09.72228.log,mimic--cxrfmkd1664to14_lp_huberloss_multirun-seed42.mira10.72229.log,mimic--cxrfmkd1664to14_lp_huberloss_multirun-seed43.mira10.72230.log,mimic--cxrfmkd1664to14_lp_huberloss_multirun-seed44.mira02.72231.log,mimic--cxrfmkd1664to14_lp_huberloss_multirun-seed45.mira09.72232.log
AUC-PR | 'No Finding' (Testing),0.41845,0.41787,0.41882,0.41858,0.41923,0.70835,0.70851,0.70817,0.7086,0.70865
AUC-PR | 'Others' (Testing),0.32033,0.32029,0.32033,0.32037,0.3203,0.27295,0.2725,0.27241,0.27303,0.27306
AUC-PR | 'Pleural Effusion' (Testing),0.76268,0.76267,0.76257,0.76242,0.7626,0.67877,0.6785,0.67877,0.67887,0.67916
AUC-ROC | 'No Finding' (Testing),0.8648,0.86463,0.86466,0.86487,0.8649,0.84205,0.84208,0.84197,0.84228,0.84224
AUC-ROC | 'Others' (Testing),0.75239,0.75233,0.75245,0.75237,0.75255,0.75735,0.75736,0.75722,0.75756,0.75753
AUC-ROC | 'Pleural Effusion' (Testing),0.84118,0.84133,0.8413,0.84104,0.84123,0.87031,0.87025,0.87031,0.87043,0.87051
J Index Max | 'No Finding' (Testing),0.61263,0.61291,0.61335,0.61194,0.61308,0.54504,0.54468,0.54447,0.5451,0.5453
J Index Max | 'Others' (Testing),0.38985,0.38936,0.38928,0.38965,0.38956,0.39863,0.3966,0.39832,0.39876,0.39889
J Index Max | 'Pleural Effusion' (Testing),0.52923,0.53035,0.52975,0.52891,0.52801,0.58669,0.58773,0.58757,0.58744,0.58738
J Index at 20% FPR | 'No Finding' (Testing),0.60795,0.60917,0.61026,0.61141,0.60957,0.54237,0.54176,0.54126,0.54209,0.54184
J Index at 20% FPR | 'Others' (Testing),0.35523,0.35375,0.35433,0.35576,0.35602,0.35161,0.35213,0.35007,0.35098,0.35178
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51401,0.5134,0.51551,0.51387,0.51409,0.57544,0.57545,0.57511,0.57764,0.57708
Macro AUC-PR (Testing),0.35893,0.35886,0.35895,0.35896,0.35896,0.33304,0.33264,0.33256,0.33313,0.33318
Macro AUC-PR (Validation - During Training),0.35923,0.35924,0.35945,0.3594,0.3593,0.33074,0.33046,0.3306,0.33067,0.33086
Macro AUC-PR (Validation - Final),0.35923,0.35906,0.35945,0.3594,0.3593,0.33074,0.33037,0.33016,0.33067,0.33086
Macro AUC-ROC (Testing),0.76677,0.76671,0.76681,0.76674,0.76691,0.77147,0.77148,0.77135,0.77167,0.77165
Macro AUC-ROC (Validation - During Training),0.76652,0.76665,0.76671,0.76664,0.76652,0.77066,0.7705,0.77065,0.77077,0.77064
Macro AUC-ROC (Validation - Final),0.76652,0.76647,0.76671,0.76664,0.76652,0.77066,0.77049,0.77027,0.77077,0.77064
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29124,0.29135,0.29127,0.29124,0.29119,0.27296,0.27302,0.27319,0.27293,0.27288
test_loss_step,0.25034,0.24945,0.25328,0.2473,0.25174,0.31875,0.31706,0.31807,0.31482,0.31762
train_loss_epoch,0.28989,0.28984,0.28989,0.28993,0.28985,0.26981,0.26971,0.2698,0.26976,0.26979
train_loss_step,0.27939,0.26951,0.32328,0.28386,0.29576,0.24995,0.29873,0.23372,0.26118,0.28896
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.2912,0.29113,0.29114,0.29114,0.29111,0.27354,0.2736,0.27369,0.27352,0.27345
val_final_loss_step,0.26057,0.26811,0.26322,0.27013,0.26687,0.25282,0.25698,0.25791,0.25417,0.25647
val_loss_epoch,0.2912,0.29118,0.29114,0.29114,0.29111,0.27354,0.27361,0.27371,0.27352,0.27345
val_loss_step,0.26057,0.26439,0.26322,0.27013,0.26687,0.25282,0.25685,0.25962,0.25417,0.25647
