Metric,chexpert--cxrfmkd_fft_huberloss_multirun-seed41.loki.70245.log,chexpert--cxrfmkd_fft_huberloss_multirun-seed42.loki.70246.log,chexpert--cxrfmkd_fft_huberloss_multirun-seed43.loki.70247.log,chexpert--cxrfmkd_fft_huberloss_multirun-seed44.loki.70248.log,chexpert--cxrfmkd_fft_huberloss_multirun-seed45.loki.70249.log
AUC-PR | 'No Finding' (Testing),0.43805,0.43816,0.44001,0.44546,0.43708
AUC-PR | 'Others' (Testing),0.34809,0.34585,0.35167,0.34722,0.35037
AUC-PR | 'Pleural Effusion' (Testing),0.79835,0.79738,0.80266,0.8007,0.79974
AUC-ROC | 'No Finding' (Testing),0.87737,0.87173,0.87646,0.87877,0.87326
AUC-ROC | 'Others' (Testing),0.77273,0.77305,0.77524,0.77268,0.77235
AUC-ROC | 'Pleural Effusion' (Testing),0.86322,0.86246,0.86569,0.86488,0.86514
J Index Max | 'No Finding' (Testing),0.61317,0.60444,0.61986,0.61756,0.61451
J Index Max | 'Others' (Testing),0.42398,0.42235,0.42844,0.42016,0.42504
J Index Max | 'Pleural Effusion' (Testing),0.57002,0.56558,0.57729,0.57857,0.57499
J Index at 20% FPR | 'No Finding' (Testing),0.59955,0.59662,0.61487,0.60693,0.60958
J Index at 20% FPR | 'Others' (Testing),0.3888,0.39006,0.38853,0.38952,0.38784
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.5578,0.55366,0.56645,0.56934,0.56662
Macro AUC-PR (Testing),0.38667,0.3847,0.3902,0.38663,0.38866
Macro AUC-PR (Validation - During Training),0.33262,0.32868,0.32878,0.32342,0.32988
Macro AUC-PR (Validation - Final),0.38742,0.38485,0.39163,0.38801,0.39138
Macro AUC-ROC (Testing),0.78667,0.78649,0.78893,0.78684,0.78618
Macro AUC-ROC (Validation - During Training),0.73413,0.72962,0.72683,0.72493,0.72445
Macro AUC-ROC (Validation - Final),0.78898,0.78628,0.79278,0.78823,0.79018
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27939,0.28289,0.27749,0.27924,0.28083
test_loss_step,0.24266,0.24666,0.23231,0.23195,0.26884
train_loss_epoch,0.12055,0.11955,0.12091,0.11962,0.1205
train_loss_step,0.16148,0.14057,0.11636,0.16624,0.10059
trainer/global_step,11920,11920,11920,11920,11920
val_final_loss_epoch,0.27958,0.28362,0.27874,0.28068,0.28085
val_final_loss_step,0.21786,0.24684,0.23018,0.2244,0.22959
val_loss_epoch,0.50001,0.48972,0.52214,0.49056,0.55781
val_loss_step,0.28283,0.47512,0.78755,0.38651,0.15246
