Metric,chexpert--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed41.loki.70355.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed42.loki.70356.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed43.loki.70357.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed44.loki.70358.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed45.loki.70359.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed41.loki.72337.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed42.loki.72338.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed43.luna.72339.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed44.luna.72340.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimlearned_multirun-seed45.mira01.72341.log
AUC-PR | 'No Finding' (Testing),0.43989,0.4275,0.43652,0.43297,0.43745,0.72236,0.72293,0.72396,0.72478,0.72455
AUC-PR | 'Others' (Testing),0.35169,0.35587,0.34528,0.35406,0.35184,0.31004,0.30265,0.31145,0.30611,0.30992
AUC-PR | 'Pleural Effusion' (Testing),0.80523,0.80448,0.80285,0.80327,0.80546,0.72873,0.72898,0.73525,0.73109,0.73014
AUC-ROC | 'No Finding' (Testing),0.87991,0.87905,0.88011,0.8781,0.87771,0.8534,0.85376,0.85534,0.85424,0.85559
AUC-ROC | 'Others' (Testing),0.77891,0.77991,0.77191,0.77983,0.77837,0.78767,0.78588,0.78972,0.78616,0.78891
AUC-ROC | 'Pleural Effusion' (Testing),0.86842,0.86701,0.86682,0.86713,0.86898,0.89574,0.89497,0.8972,0.89631,0.89568
J Index Max | 'No Finding' (Testing),0.6274,0.61644,0.62658,0.62079,0.61684,0.56591,0.56556,0.57091,0.56887,0.57281
J Index Max | 'Others' (Testing),0.43189,0.43228,0.42262,0.43454,0.43372,0.44748,0.4442,0.45078,0.4461,0.4492
J Index Max | 'Pleural Effusion' (Testing),0.58342,0.5815,0.57817,0.57809,0.58264,0.63653,0.62973,0.63821,0.63862,0.63845
J Index at 20% FPR | 'No Finding' (Testing),0.61907,0.61011,0.62484,0.61792,0.61343,0.56364,0.56461,0.56759,0.56313,0.57119
J Index at 20% FPR | 'Others' (Testing),0.39938,0.39998,0.38812,0.40177,0.40248,0.40984,0.41204,0.41825,0.41031,0.4144
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.57854,0.5738,0.56821,0.57267,0.57535,0.63445,0.62852,0.6334,0.63403,0.63733
Macro AUC-PR (Testing),0.39039,0.39303,0.38448,0.39179,0.39036,0.36939,0.36312,0.37118,0.36637,0.36955
Macro AUC-PR (Validation - During Training),0.33289,0.32908,0.3416,0.33324,0.33576,0.3119,0.30945,0.31836,0.32037,0.31591
Macro AUC-PR (Validation - Final),0.39238,0.39581,0.38542,0.39641,0.39577,0.36231,0.35958,0.36371,0.36116,0.36413
Macro AUC-ROC (Testing),0.79252,0.79321,0.78642,0.79308,0.79194,0.80009,0.79852,0.80208,0.79889,0.8013
Macro AUC-ROC (Validation - During Training),0.73747,0.73449,0.745,0.73668,0.74023,0.75402,0.74897,0.76031,0.76275,0.76061
Macro AUC-ROC (Validation - Final),0.79271,0.79399,0.78755,0.79516,0.79317,0.80017,0.7973,0.80091,0.79807,0.80099
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.2757,0.27595,0.27783,0.27542,0.27578,0.26062,0.26167,0.26037,0.26071,0.26078
test_loss_step,0.20052,0.21219,0.22767,0.23262,0.22793,0.28603,0.30495,0.29373,0.29177,0.30291
train_loss_epoch,0.15662,0.15689,0.15521,0.15409,0.15719,0.16215,0.16249,0.16277,0.16292,0.16151
train_loss_step,0.16725,0.14515,0.19624,0.16314,0.16103,0.15559,0.16865,0.18017,0.1568,0.15137
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27733,0.27786,0.27868,0.27687,0.27669,0.26137,0.26166,0.26109,0.26114,0.26108
val_final_loss_step,0.23511,0.21799,0.20308,0.20503,0.23616,0.33008,0.28627,0.30835,0.30878,0.30182
val_loss_epoch,0.42639,0.41453,0.41082,0.4368,0.39693,0.37029,0.35522,0.3695,0.37822,0.35603
val_loss_step,0.31283,0.62367,0.13728,0.50497,0.14852,0.36109,0.35995,0.30398,0.3529,0.19658
