Metric,chexpert--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed41.loki.70345.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed42.loki.70346.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed43.loki.70347.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed44.loki.70348.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed45.loki.70349.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed41.mira05.72311.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed42.mira10.72312.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed43.mira10.72313.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed44.mira09.72314.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimlearned_multirun-seed45.mira02.72315.log
AUC-PR | 'No Finding' (Testing),0.41884,0.41869,0.41963,0.41896,0.41936,0.7061,0.70611,0.70602,0.7063,0.70629
AUC-PR | 'Others' (Testing),0.31916,0.31929,0.31938,0.31917,0.31928,0.27239,0.27201,0.27188,0.2725,0.27246
AUC-PR | 'Pleural Effusion' (Testing),0.76243,0.76265,0.7625,0.76249,0.76247,0.68107,0.68051,0.68048,0.68112,0.68143
AUC-ROC | 'No Finding' (Testing),0.86543,0.86537,0.86547,0.86534,0.86556,0.84086,0.8408,0.84073,0.84104,0.84099
AUC-ROC | 'Others' (Testing),0.75122,0.75131,0.75144,0.75125,0.75129,0.75545,0.75549,0.7554,0.7557,0.75564
AUC-ROC | 'Pleural Effusion' (Testing),0.84102,0.84117,0.84126,0.84101,0.84107,0.87044,0.87024,0.87019,0.87048,0.87065
J Index Max | 'No Finding' (Testing),0.60377,0.60484,0.60437,0.60447,0.60534,0.54239,0.54099,0.54218,0.54231,0.54147
J Index Max | 'Others' (Testing),0.38496,0.3853,0.38584,0.38414,0.38419,0.39349,0.39428,0.39356,0.39347,0.39255
J Index Max | 'Pleural Effusion' (Testing),0.53104,0.53175,0.5327,0.53329,0.5329,0.58643,0.58601,0.58485,0.58506,0.58531
J Index at 20% FPR | 'No Finding' (Testing),0.60107,0.60348,0.60266,0.60278,0.60357,0.53651,0.53558,0.53408,0.53715,0.53703
J Index at 20% FPR | 'Others' (Testing),0.35285,0.35298,0.3548,0.35348,0.35542,0.35172,0.35128,0.35155,0.35084,0.35192
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51163,0.51287,0.5102,0.51199,0.50953,0.58146,0.58213,0.58137,0.58203,0.58281
Macro AUC-PR (Testing),0.35794,0.35806,0.35819,0.35797,0.35808,0.33256,0.33219,0.33207,0.33267,0.33266
Macro AUC-PR (Validation - During Training),0.35784,0.3578,0.35795,0.35792,0.35785,0.32821,0.32777,0.32792,0.32813,0.32821
Macro AUC-PR (Validation - Final),0.35784,0.3578,0.35795,0.35792,0.35785,0.32821,0.32766,0.32743,0.32813,0.32821
Macro AUC-ROC (Testing),0.76579,0.76588,0.766,0.76581,0.76586,0.76976,0.76978,0.7697,0.77,0.76995
Macro AUC-ROC (Validation - During Training),0.76529,0.76545,0.76557,0.76546,0.76536,0.76856,0.76839,0.76849,0.76865,0.76855
Macro AUC-ROC (Validation - Final),0.76529,0.76545,0.76557,0.76546,0.76536,0.76856,0.76836,0.76817,0.76865,0.76855
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29161,0.29152,0.29158,0.29159,0.29155,0.27321,0.27328,0.27344,0.27318,0.27314
test_loss_step,0.25207,0.25294,0.25373,0.24974,0.25286,0.31833,0.31757,0.318,0.31507,0.31801
train_loss_epoch,0.29057,0.29052,0.29044,0.29053,0.29045,0.27034,0.27026,0.27033,0.27028,0.27029
train_loss_step,0.27783,0.2723,0.31935,0.28128,0.2981,0.24696,0.29632,0.23572,0.26576,0.29124
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29179,0.2917,0.29169,0.29171,0.29165,0.27399,0.27406,0.27414,0.27398,0.2739
val_final_loss_step,0.24192,0.2445,0.24461,0.24873,0.24841,0.2511,0.25442,0.25538,0.25179,0.25642
val_loss_epoch,0.29179,0.2917,0.29169,0.29171,0.29165,0.27399,0.27406,0.27418,0.27398,0.2739
val_loss_step,0.24192,0.2445,0.24461,0.24873,0.24841,0.2511,0.25609,0.25661,0.25179,0.25642
