Metric,chexpert--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed41.loki.70340.log,chexpert--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed42.loki.70341.log,chexpert--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed43.loki.70342.log,chexpert--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed44.loki.70343.log,chexpert--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed45.loki.70344.log,mimic--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed41.mira02.72306.log,mimic--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed42.mira04.72307.log,mimic--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed43.mira10.72309.log,mimic--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed44.mira09.72308.log,mimic--cxrfmkd_lp_mse&cosinesimlearned_multirun-seed45.mira10.72310.log
AUC-PR | 'No Finding' (Testing),0.40963,0.4119,0.40646,0.40885,0.40885,0.70434,0.70336,0.70354,0.70499,0.70367
AUC-PR | 'Others' (Testing),0.31961,0.3192,0.3187,0.31919,0.31641,0.27043,0.26951,0.2718,0.27361,0.27158
AUC-PR | 'Pleural Effusion' (Testing),0.7644,0.76475,0.7668,0.76599,0.76305,0.68109,0.68173,0.68156,0.68472,0.68091
AUC-ROC | 'No Finding' (Testing),0.86305,0.86467,0.86053,0.86431,0.86032,0.8405,0.83936,0.83932,0.84059,0.83997
AUC-ROC | 'Others' (Testing),0.7487,0.74899,0.74417,0.74675,0.74534,0.75341,0.75063,0.75281,0.75267,0.75152
AUC-ROC | 'Pleural Effusion' (Testing),0.8428,0.84256,0.8438,0.84368,0.84123,0.87147,0.87052,0.87098,0.87172,0.8708
J Index Max | 'No Finding' (Testing),0.60444,0.60333,0.59834,0.61196,0.59823,0.54131,0.53801,0.54391,0.5448,0.53954
J Index Max | 'Others' (Testing),0.38234,0.38437,0.37489,0.37873,0.38023,0.38998,0.38257,0.38962,0.38874,0.38517
J Index Max | 'Pleural Effusion' (Testing),0.53979,0.53526,0.53448,0.53447,0.52614,0.59176,0.58862,0.58639,0.59037,0.58336
J Index at 20% FPR | 'No Finding' (Testing),0.60025,0.60208,0.58495,0.60085,0.59282,0.5315,0.5349,0.53884,0.54158,0.536
J Index at 20% FPR | 'Others' (Testing),0.34302,0.34894,0.3392,0.34696,0.34444,0.34758,0.34859,0.35063,0.34959,0.34945
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51687,0.51756,0.51775,0.52274,0.52072,0.5796,0.57798,0.5771,0.57746,0.58079
Macro AUC-PR (Testing),0.35781,0.35764,0.35698,0.35751,0.35491,0.33076,0.32995,0.3319,0.33379,0.33168
Macro AUC-PR (Validation - During Training),0.3607,0.35924,0.35802,0.35938,0.3598,0.32911,0.32934,0.33066,0.32966,0.32973
Macro AUC-PR (Validation - Final),0.35912,0.35798,0.35802,0.35859,0.35449,0.32813,0.32732,0.32866,0.32924,0.32805
Macro AUC-ROC (Testing),0.76359,0.76393,0.7596,0.76207,0.7604,0.76806,0.76554,0.76743,0.76745,0.76636
Macro AUC-ROC (Validation - During Training),0.76591,0.76343,0.76271,0.76378,0.76444,0.76721,0.76797,0.76753,0.76876,0.76773
Macro AUC-ROC (Validation - Final),0.76549,0.76246,0.76271,0.76462,0.76164,0.76686,0.7657,0.76686,0.76663,0.76587
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29537,0.29634,0.29512,0.29519,0.29544,0.27771,0.27864,0.27584,0.27839,0.27768
test_loss_step,0.2864,0.25325,0.27151,0.23314,0.26074,0.31945,0.33171,0.32105,0.325,0.34341
train_loss_epoch,0.2973,0.29677,0.29725,0.29684,0.29725,0.27676,0.27588,0.27628,0.27627,0.27642
train_loss_step,0.32314,0.31048,0.28395,0.29451,0.25927,0.22958,0.21841,0.28405,0.26095,0.31456
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29687,0.29697,0.29654,0.29522,0.29536,0.27886,0.27903,0.27665,0.27932,0.2786
val_final_loss_step,0.26354,0.26478,0.25116,0.24054,0.24869,0.23985,0.22964,0.25122,0.30648,0.27757
val_loss_epoch,0.29894,0.30647,0.29654,0.2964,0.29797,0.28195,0.28533,0.28059,0.28017,0.28187
val_loss_step,0.22844,0.32009,0.25116,0.24566,0.2077,0.26519,0.20796,0.27066,0.27136,0.2819
