Metric,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed41.luna.70381.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed42.luna.70382.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed43.luna.70383.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed44.luna.70384.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed45.luna.70385.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed41.luna.72357.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed42.loki.72358.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed43.loki.72359.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed44.loki.72360.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p50_multirun-seed45.luna.72361.log
AUC-PR | 'No Finding' (Testing),0.44394,0.43131,0.43822,0.4328,0.43511,0.72741,0.72774,0.725,0.72247,0.72867
AUC-PR | 'Others' (Testing),0.35498,0.34321,0.34598,0.35575,0.35441,0.31085,0.30881,0.30587,0.30927,0.30907
AUC-PR | 'Pleural Effusion' (Testing),0.80742,0.80669,0.80542,0.80645,0.80168,0.73721,0.73938,0.73348,0.7368,0.73646
AUC-ROC | 'No Finding' (Testing),0.87986,0.87874,0.88206,0.87998,0.87543,0.85564,0.85529,0.85549,0.85467,0.85615
AUC-ROC | 'Others' (Testing),0.77967,0.77121,0.77268,0.78121,0.77879,0.78918,0.7879,0.78606,0.78729,0.78832
AUC-ROC | 'Pleural Effusion' (Testing),0.87008,0.86818,0.8692,0.86884,0.86755,0.89718,0.89799,0.89529,0.89669,0.89696
J Index Max | 'No Finding' (Testing),0.62656,0.62578,0.62972,0.62911,0.61782,0.57043,0.56944,0.57256,0.57448,0.57131
J Index Max | 'Others' (Testing),0.43033,0.41884,0.42685,0.4388,0.43653,0.44996,0.44913,0.44542,0.44859,0.4473
J Index Max | 'Pleural Effusion' (Testing),0.58191,0.57883,0.58325,0.57925,0.57948,0.63248,0.63645,0.63323,0.63287,0.63661
J Index at 20% FPR | 'No Finding' (Testing),0.61949,0.62238,0.62794,0.62447,0.61252,0.56952,0.56768,0.56861,0.56911,0.57061
J Index at 20% FPR | 'Others' (Testing),0.40251,0.3837,0.38884,0.40587,0.40236,0.42046,0.41203,0.41153,0.41484,0.4163
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.57848,0.57462,0.57358,0.57121,0.57105,0.63009,0.6316,0.6293,0.62543,0.63576
Macro AUC-PR (Testing),0.39365,0.38261,0.38538,0.39345,0.39212,0.37106,0.36949,0.36635,0.36932,0.36957
Macro AUC-PR (Validation - During Training),0.3309,0.33084,0.33882,0.32301,0.33832,0.3064,0.31335,0.31149,0.31277,0.31916
Macro AUC-PR (Validation - Final),0.39487,0.38177,0.38519,0.39485,0.39366,0.3653,0.36285,0.35944,0.36329,0.36339
Macro AUC-ROC (Testing),0.79328,0.78582,0.78739,0.79453,0.79204,0.80164,0.80057,0.79882,0.79991,0.80093
Macro AUC-ROC (Validation - During Training),0.73214,0.72775,0.73925,0.72733,0.73542,0.74545,0.75534,0.74971,0.75636,0.7592
Macro AUC-ROC (Validation - Final),0.79369,0.7845,0.78735,0.79449,0.79191,0.8016,0.79884,0.79603,0.80041,0.79811
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27587,0.27781,0.27694,0.27509,0.27916,0.25986,0.26061,0.26112,0.26062,0.26106
test_loss_step,0.21675,0.20081,0.23927,0.24688,0.20356,0.2951,0.30023,0.29313,0.3023,0.30182
train_loss_epoch,0.14003,0.13998,0.13856,0.14069,0.14117,0.15844,0.15745,0.15866,0.15806,0.15738
train_loss_step,0.13586,0.14605,0.18197,0.16856,0.14986,0.15423,0.16705,0.16407,0.15694,0.16666
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27739,0.27927,0.27848,0.27707,0.28047,0.26011,0.26136,0.26208,0.26104,0.26163
val_final_loss_step,0.25387,0.2244,0.26362,0.23912,0.19768,0.30231,0.247,0.26875,0.30096,0.28763
val_loss_epoch,0.42983,0.457,0.44308,0.44899,0.47862,0.41339,0.36838,0.39034,0.37501,0.39714
val_loss_step,0.6682,0.14626,0.48118,0.34644,0.58655,0.31864,0.28136,0.51748,0.33603,0.39417
