Metric,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed41.luna.70371.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed42.luna.70372.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed43.luna.70373.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed44.luna.70374.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed45.luna.70375.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed41.mira01.72347.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed42.loki.72348.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed43.mira01.72349.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed44.mira01.72350.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p50_multirun-seed45.luna.72351.log
AUC-PR | 'No Finding' (Testing),0.42562,0.43666,0.43847,0.44127,0.4277,0.72212,0.72346,0.72427,0.71986,0.72219
AUC-PR | 'Others' (Testing),0.34734,0.34664,0.34837,0.34987,0.34344,0.29782,0.2987,0.30295,0.30311,0.29671
AUC-PR | 'Pleural Effusion' (Testing),0.80351,0.79674,0.80037,0.80408,0.789,0.72301,0.72698,0.73054,0.72836,0.72403
AUC-ROC | 'No Finding' (Testing),0.8757,0.8794,0.87976,0.88025,0.87688,0.85529,0.85315,0.85505,0.85367,0.852
AUC-ROC | 'Others' (Testing),0.77301,0.77217,0.77507,0.77487,0.76989,0.77791,0.78138,0.78207,0.78182,0.77995
AUC-ROC | 'Pleural Effusion' (Testing),0.86803,0.86388,0.86515,0.86808,0.8593,0.89253,0.89368,0.89507,0.89365,0.89303
J Index Max | 'No Finding' (Testing),0.61698,0.61794,0.6352,0.62632,0.62797,0.57054,0.56649,0.57112,0.56974,0.56847
J Index Max | 'Others' (Testing),0.42286,0.42137,0.42891,0.42766,0.41562,0.4349,0.43733,0.4403,0.44429,0.43467
J Index Max | 'Pleural Effusion' (Testing),0.57962,0.57102,0.57058,0.58122,0.56458,0.62572,0.62641,0.63091,0.63502,0.63124
J Index at 20% FPR | 'No Finding' (Testing),0.61678,0.61336,0.6174,0.62487,0.62221,0.56773,0.56225,0.56807,0.56804,0.56693
J Index at 20% FPR | 'Others' (Testing),0.39367,0.38494,0.39498,0.39762,0.38815,0.39593,0.39469,0.40489,0.40444,0.39572
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56721,0.55829,0.56645,0.5699,0.55264,0.62376,0.62501,0.62799,0.6244,0.62709
Macro AUC-PR (Testing),0.38552,0.38522,0.38709,0.38884,0.38129,0.3585,0.35963,0.36358,0.36325,0.35763
Macro AUC-PR (Validation - During Training),0.32952,0.33191,0.32674,0.32937,0.33217,0.28966,0.30926,0.30273,0.29715,0.30611
Macro AUC-PR (Validation - Final),0.38786,0.38434,0.39293,0.39241,0.38326,0.3561,0.35887,0.35956,0.35973,0.35702
Macro AUC-ROC (Testing),0.78713,0.78638,0.78899,0.78905,0.78392,0.79163,0.79453,0.79535,0.79494,0.79317
Macro AUC-ROC (Validation - During Training),0.73214,0.72597,0.72574,0.72901,0.73044,0.73054,0.74297,0.73963,0.73376,0.74616
Macro AUC-ROC (Validation - Final),0.78788,0.78529,0.79152,0.79093,0.78277,0.79324,0.79618,0.79785,0.79675,0.79399
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27817,0.27936,0.27762,0.28152,0.28507,0.26493,0.26363,0.26274,0.26859,0.2645
test_loss_step,0.22727,0.24063,0.23138,0.17041,0.20168,0.3154,0.31385,0.31438,0.34501,0.28957
train_loss_epoch,0.1171,0.11818,0.11989,0.12029,0.12367,0.1416,0.14492,0.14143,0.14081,0.14254
train_loss_step,0.13913,0.14075,0.11668,0.1294,0.10884,0.10654,0.13308,0.14814,0.13507,0.18249
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.28001,0.28195,0.27842,0.28283,0.28552,0.26576,0.26299,0.2632,0.26766,0.26466
val_final_loss_step,0.201,0.17447,0.24494,0.23381,0.26989,0.31179,0.27764,0.29215,0.29699,0.2817
val_loss_epoch,0.50214,0.51301,0.49124,0.47706,0.48549,0.39952,0.43362,0.43645,0.45463,0.41507
val_loss_step,0.72018,0.653,0.49292,0.59776,0.54555,0.44475,0.32461,0.36382,0.35601,0.32389
