Metric,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed41.loki.70360.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed42.loki.70361.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed43.loki.70362.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed44.loki.70363.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed45.loki.70364.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed41.mira02.72342.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed42.luna.72489.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed43.mira04.72344.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed44.mira05.72345.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p50_multirun-seed45.mira09.72346.log
AUC-PR | 'No Finding' (Testing),0.41821,0.41738,0.41409,0.41727,0.41363,0.70369,0.70197,0.70232,0.70391,0.7038
AUC-PR | 'Others' (Testing),0.32028,0.31958,0.31941,0.31973,0.31657,0.27051,0.27007,0.27277,0.27381,0.27224
AUC-PR | 'Pleural Effusion' (Testing),0.76266,0.76311,0.76377,0.76376,0.76133,0.68253,0.68245,0.68328,0.68546,0.68078
AUC-ROC | 'No Finding' (Testing),0.86255,0.86428,0.86035,0.86368,0.86082,0.84085,0.83945,0.83941,0.84045,0.83967
AUC-ROC | 'Others' (Testing),0.74759,0.74792,0.74364,0.74572,0.74452,0.75431,0.75135,0.7537,0.75343,0.7507
AUC-ROC | 'Pleural Effusion' (Testing),0.84193,0.84138,0.84236,0.8422,0.84033,0.87067,0.86955,0.87001,0.87034,0.86949
J Index Max | 'No Finding' (Testing),0.59898,0.60414,0.59252,0.60446,0.59972,0.5378,0.53676,0.53761,0.53858,0.53564
J Index Max | 'Others' (Testing),0.38161,0.38276,0.37245,0.38064,0.3769,0.3906,0.38327,0.39135,0.39425,0.38776
J Index Max | 'Pleural Effusion' (Testing),0.52656,0.52531,0.52715,0.52724,0.52305,0.58924,0.58795,0.58589,0.58975,0.58661
J Index at 20% FPR | 'No Finding' (Testing),0.59537,0.59986,0.58874,0.60359,0.59566,0.52995,0.5343,0.53392,0.53592,0.53342
J Index at 20% FPR | 'Others' (Testing),0.34636,0.34703,0.33698,0.34393,0.34551,0.35105,0.34371,0.34713,0.35337,0.34944
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51556,0.5127,0.50941,0.51524,0.50849,0.58021,0.57843,0.57639,0.57352,0.57349
Macro AUC-PR (Testing),0.35888,0.35825,0.35791,0.35841,0.35527,0.33089,0.33038,0.33277,0.33394,0.33224
Macro AUC-PR (Validation - During Training),0.36079,0.35934,0.35873,0.35971,0.36016,0.32909,0.3299,0.33034,0.32982,0.33018
Macro AUC-PR (Validation - Final),0.35978,0.35878,0.35873,0.35964,0.35585,0.32791,0.32742,0.32811,0.3291,0.32929
Macro AUC-ROC (Testing),0.76254,0.76291,0.75903,0.76104,0.75967,0.7688,0.76609,0.76813,0.768,0.76554
Macro AUC-ROC (Validation - During Training),0.76528,0.76299,0.76272,0.76359,0.76312,0.76697,0.76836,0.76715,0.76914,0.76806
Macro AUC-ROC (Validation - Final),0.7646,0.76175,0.76272,0.76397,0.76126,0.76648,0.76562,0.76694,0.76636,0.76382
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29555,0.29692,0.29536,0.29524,0.29585,0.27724,0.27862,0.27562,0.27861,0.27782
test_loss_step,0.27413,0.24618,0.26378,0.22514,0.24756,0.31243,0.32364,0.31331,0.31912,0.32846
train_loss_epoch,0.29731,0.29667,0.29725,0.2969,0.29724,0.27676,0.27582,0.27611,0.27628,0.27651
train_loss_step,0.32272,0.30697,0.28473,0.30278,0.26129,0.22772,0.22103,0.28581,0.2584,0.31794
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29683,0.29722,0.29656,0.29523,0.29537,0.27851,0.27909,0.27669,0.27948,0.27879
val_final_loss_step,0.27407,0.2719,0.25093,0.2435,0.255,0.21291,0.20771,0.22987,0.27912,0.24556
val_loss_epoch,0.29904,0.30637,0.29656,0.29604,0.29785,0.28183,0.28511,0.28076,0.28016,0.28123
val_loss_step,0.23422,0.32459,0.25093,0.25035,0.21141,0.2333,0.182,0.23438,0.22838,0.24082
