Metric,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed41.luna.70429.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed42.luna.70430.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed43.luna.70431.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed44.luna.70432.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed45.luna.70433.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed41.luna.72372.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed42.loki.72373.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed43.luna.72374.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed44.luna.72375.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p60_multirun-seed45.loki.72376.log
AUC-PR | 'No Finding' (Testing),0.43917,0.4297,0.43898,0.4381,0.446,0.72245,0.7246,0.72398,0.7235,0.72096
AUC-PR | 'Others' (Testing),0.35049,0.35021,0.34068,0.34719,0.34814,0.30567,0.30453,0.30476,0.30243,0.29933
AUC-PR | 'Pleural Effusion' (Testing),0.79622,0.79568,0.79869,0.79431,0.79132,0.72351,0.73136,0.72452,0.72494,0.72336
AUC-ROC | 'No Finding' (Testing),0.87961,0.87369,0.87817,0.87922,0.87666,0.8526,0.85406,0.85409,0.85428,0.85151
AUC-ROC | 'Others' (Testing),0.77529,0.77487,0.77001,0.77162,0.77338,0.78422,0.78146,0.78267,0.78004,0.78032
AUC-ROC | 'Pleural Effusion' (Testing),0.86369,0.86083,0.86427,0.86193,0.86261,0.89137,0.89518,0.89374,0.89328,0.89355
J Index Max | 'No Finding' (Testing),0.62464,0.61668,0.62426,0.62842,0.6179,0.56414,0.56594,0.56623,0.56796,0.5585
J Index Max | 'Others' (Testing),0.42693,0.43112,0.41796,0.4164,0.42547,0.44234,0.43757,0.43989,0.43212,0.43741
J Index Max | 'Pleural Effusion' (Testing),0.57253,0.56183,0.57499,0.56483,0.57478,0.62915,0.63443,0.6307,0.63069,0.62674
J Index at 20% FPR | 'No Finding' (Testing),0.6218,0.61184,0.61847,0.62679,0.61699,0.56184,0.56493,0.5633,0.56143,0.55563
J Index at 20% FPR | 'Others' (Testing),0.39329,0.39557,0.38288,0.38946,0.38621,0.40797,0.39381,0.40395,0.39223,0.39985
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56275,0.54795,0.5579,0.55789,0.55796,0.62647,0.6276,0.62743,0.62728,0.62221
Macro AUC-PR (Testing),0.38867,0.38771,0.38042,0.38562,0.38678,0.36529,0.36503,0.36469,0.36269,0.35974
Macro AUC-PR (Validation - During Training),0.32959,0.32733,0.31093,0.32603,0.3278,0.30637,0.30919,0.30766,0.31051,0.30532
Macro AUC-PR (Validation - Final),0.39012,0.38914,0.38002,0.38605,0.38861,0.36025,0.35982,0.36289,0.35593,0.35667
Macro AUC-ROC (Testing),0.78906,0.78807,0.78447,0.78576,0.78713,0.79676,0.79477,0.7957,0.79343,0.7935
Macro AUC-ROC (Validation - During Training),0.72541,0.7267,0.70934,0.72351,0.72229,0.74007,0.74801,0.74639,0.74997,0.74345
Macro AUC-ROC (Validation - Final),0.79059,0.78977,0.78397,0.78828,0.78719,0.79786,0.79697,0.79911,0.79239,0.7943
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.279,0.28094,0.28064,0.28516,0.28102,0.26308,0.26444,0.2652,0.26588,0.26675
test_loss_step,0.2578,0.22963,0.22693,0.18446,0.2087,0.30494,0.31892,0.30425,0.31799,0.31071
train_loss_epoch,0.09921,0.09969,0.10059,0.0992,0.09972,0.14414,0.14403,0.14535,0.14311,0.14393
train_loss_step,0.13262,0.12833,0.09169,0.1294,0.10603,0.13487,0.09318,0.16192,0.12467,0.16546
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.28073,0.28092,0.28246,0.28628,0.28174,0.26377,0.26413,0.26448,0.26608,0.26627
val_final_loss_step,0.21847,0.27,0.21804,0.21271,0.23559,0.33585,0.27039,0.30857,0.32743,0.28079
val_loss_epoch,0.58461,0.56329,0.61044,0.56606,0.64806,0.40536,0.39436,0.41347,0.40689,0.39974
val_loss_step,0.36164,0.5793,0.63662,0.23837,0.0966,0.22706,0.3765,0.35711,0.15411,0.36874
