Metric,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed41.luna.70485.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed42.luna.70486.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed43.luna.70487.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed44.luna.70488.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed45.luna.70489.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed41.luna.72401.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed42.luna.72402.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed43.loki.72403.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed44.mira01.72404.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p70_multirun-seed45.mira01.72405.log
AUC-PR | 'No Finding' (Testing),0.43946,0.43166,0.43488,0.43726,0.43695,0.72533,0.72558,0.71628,0.72352,0.72709
AUC-PR | 'Others' (Testing),0.34848,0.35423,0.35242,0.35354,0.35219,0.31094,0.30625,0.30835,0.30684,0.30658
AUC-PR | 'Pleural Effusion' (Testing),0.8032,0.80202,0.80167,0.80036,0.79929,0.73088,0.73122,0.72716,0.72977,0.7285
AUC-ROC | 'No Finding' (Testing),0.87926,0.87743,0.87769,0.87992,0.87846,0.85378,0.85337,0.85041,0.8526,0.85513
AUC-ROC | 'Others' (Testing),0.77477,0.77822,0.77869,0.77666,0.77404,0.79043,0.78755,0.78808,0.78655,0.78768
AUC-ROC | 'Pleural Effusion' (Testing),0.86699,0.8666,0.8665,0.86495,0.86447,0.89728,0.89394,0.8952,0.89351,0.89447
J Index Max | 'No Finding' (Testing),0.62478,0.60751,0.62672,0.62566,0.61865,0.56689,0.56228,0.5571,0.56228,0.56937
J Index Max | 'Others' (Testing),0.42568,0.43622,0.43387,0.43186,0.42423,0.45394,0.45037,0.44687,0.44776,0.45084
J Index Max | 'Pleural Effusion' (Testing),0.58197,0.58038,0.57816,0.57448,0.57182,0.63787,0.6276,0.63872,0.6306,0.62986
J Index at 20% FPR | 'No Finding' (Testing),0.62272,0.60154,0.62459,0.62166,0.61507,0.56612,0.55785,0.55422,0.55893,0.56761
J Index at 20% FPR | 'Others' (Testing),0.38892,0.40415,0.40232,0.40373,0.39339,0.41671,0.40683,0.4101,0.41476,0.41468
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56433,0.57099,0.56707,0.5578,0.56327,0.63406,0.62632,0.63159,0.6241,0.62738
Macro AUC-PR (Testing),0.38746,0.39174,0.3904,0.39144,0.39018,0.37054,0.36656,0.36741,0.36681,0.36675
Macro AUC-PR (Validation - During Training),0.32852,0.33025,0.33006,0.32603,0.33337,0.30386,0.31849,0.31607,0.31019,0.31754
Macro AUC-PR (Validation - Final),0.38875,0.39288,0.39178,0.39307,0.39331,0.36728,0.36178,0.36539,0.36377,0.36471
Macro AUC-ROC (Testing),0.78882,0.79162,0.79203,0.79034,0.78796,0.80259,0.79985,0.80018,0.7989,0.80013
Macro AUC-ROC (Validation - During Training),0.73284,0.7325,0.7303,0.7295,0.73509,0.74664,0.76214,0.75779,0.75667,0.76153
Macro AUC-ROC (Validation - Final),0.7884,0.79278,0.79055,0.79277,0.79033,0.804,0.79915,0.80475,0.80103,0.80048
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27709,0.27703,0.27682,0.27761,0.27795,0.26044,0.26234,0.26147,0.26242,0.26216
test_loss_step,0.24605,0.21475,0.21896,0.22535,0.22724,0.29848,0.30618,0.30795,0.30705,0.31436
train_loss_epoch,0.121,0.12151,0.11775,0.12119,0.12045,0.14583,0.14607,0.14672,0.14688,0.14688
train_loss_step,0.1262,0.14258,0.16113,0.14446,0.11787,0.13164,0.16748,0.16823,0.14667,0.15792
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27779,0.27806,0.27803,0.27904,0.27964,0.26047,0.26268,0.26139,0.26143,0.26175
val_final_loss_step,0.26369,0.21459,0.29397,0.25509,0.24995,0.28669,0.25716,0.28563,0.28053,0.28829
val_loss_epoch,0.54564,0.46265,0.47542,0.43507,0.50268,0.39923,0.39075,0.41038,0.36381,0.40427
val_loss_step,0.59686,0.42415,0.27691,0.31604,0.52323,0.55462,0.25125,0.39778,0.33572,0.35055
