Metric,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed41.luna.70468.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed42.luna.70469.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed43.luna.70470.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed44.luna.70471.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed45.luna.70472.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed41.loki.72396.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed42.luna.72397.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed43.luna.72398.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed44.mira01.72399.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p70_multirun-seed45.mira01.72400.log
AUC-PR | 'No Finding' (Testing),0.431,0.42943,0.43565,0.43574,0.42445,0.72044,0.72122,0.72563,0.72607,0.72472
AUC-PR | 'Others' (Testing),0.35083,0.34937,0.35289,0.35074,0.34586,0.29997,0.30163,0.30294,0.29922,0.30018
AUC-PR | 'Pleural Effusion' (Testing),0.80612,0.80135,0.79656,0.80194,0.79772,0.73046,0.72844,0.72914,0.72728,0.72702
AUC-ROC | 'No Finding' (Testing),0.87874,0.87645,0.87747,0.87932,0.86894,0.85374,0.85261,0.85485,0.85531,0.85407
AUC-ROC | 'Others' (Testing),0.77488,0.77277,0.77487,0.77465,0.76906,0.7811,0.78209,0.78399,0.78215,0.7848
AUC-ROC | 'Pleural Effusion' (Testing),0.86845,0.86611,0.86295,0.86603,0.86275,0.89753,0.89584,0.8953,0.8957,0.895
J Index Max | 'No Finding' (Testing),0.62802,0.61761,0.61304,0.61741,0.60222,0.56801,0.55799,0.56972,0.57265,0.56843
J Index Max | 'Others' (Testing),0.42467,0.42506,0.4269,0.42784,0.42187,0.44001,0.44083,0.43646,0.44468,0.44445
J Index Max | 'Pleural Effusion' (Testing),0.57946,0.57427,0.57064,0.58131,0.57314,0.64064,0.63282,0.63769,0.63143,0.62897
J Index at 20% FPR | 'No Finding' (Testing),0.61859,0.61395,0.60745,0.61445,0.59738,0.56059,0.55733,0.56468,0.55837,0.567
J Index at 20% FPR | 'Others' (Testing),0.39534,0.3869,0.39271,0.3908,0.3874,0.39692,0.40061,0.40396,0.40514,0.40281
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.55849,0.56217,0.55434,0.56766,0.56332,0.63647,0.63204,0.63417,0.62879,0.62817
Macro AUC-PR (Testing),0.38908,0.38738,0.39049,0.38904,0.38375,0.36076,0.36209,0.36357,0.36029,0.36099
Macro AUC-PR (Validation - During Training),0.32441,0.3222,0.31924,0.32689,0.33116,0.30409,0.27941,0.30076,0.30332,0.30374
Macro AUC-PR (Validation - Final),0.39369,0.38839,0.39267,0.39135,0.3854,0.36021,0.35959,0.36273,0.36058,0.35955
Macro AUC-ROC (Testing),0.78898,0.78684,0.78849,0.78865,0.78289,0.7946,0.79525,0.79701,0.79548,0.79762
Macro AUC-ROC (Validation - During Training),0.72313,0.72115,0.71313,0.72272,0.72519,0.74149,0.71877,0.7411,0.74063,0.74315
Macro AUC-ROC (Validation - Final),0.79229,0.78956,0.7907,0.79143,0.78685,0.79698,0.79791,0.79922,0.79795,0.79911
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.2779,0.28057,0.27909,0.28229,0.28612,0.26593,0.26431,0.26367,0.26488,0.26306
test_loss_step,0.25253,0.26594,0.20138,0.16689,0.20662,0.31885,0.32292,0.29817,0.31877,0.3015
train_loss_epoch,0.10528,0.10381,0.10532,0.10325,0.10533,0.13159,0.13222,0.13261,0.13169,0.13279
train_loss_step,0.12869,0.12535,0.09221,0.11544,0.09926,0.12538,0.10665,0.13779,0.11997,0.16419
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27916,0.28131,0.28074,0.28306,0.28483,0.26571,0.26366,0.26434,0.26471,0.26297
val_final_loss_step,0.23259,0.25253,0.22512,0.22921,0.24216,0.30207,0.31768,0.30304,0.26159,0.3246
val_loss_epoch,0.54295,0.5927,0.55327,0.53324,0.56171,0.42572,0.41779,0.46002,0.41699,0.45064
val_loss_step,0.68898,1.02733,0.3191,0.10702,0.44127,0.47709,0.36605,0.36046,0.24307,0.24305
