Metric,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed41.loki.70463.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed42.loki.70464.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed43.loki.70465.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed44.loki.70466.log,chexpert--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed45.loki.70467.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed41.mira02.72386.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed42.mira01.72490.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed43.mira04.72388.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed44.mira04.72389.log,mimic--cxrfmkd_lp_mse&cosinesimweighted_alpha0p70_multirun-seed45.mira05.72390.log
AUC-PR | 'No Finding' (Testing),0.40826,0.41105,0.40673,0.4082,0.40596,0.70235,0.70123,0.70112,0.70277,0.70172
AUC-PR | 'Others' (Testing),0.32005,0.32104,0.31999,0.32074,0.31793,0.27173,0.27203,0.27351,0.27587,0.27408
AUC-PR | 'Pleural Effusion' (Testing),0.76873,0.7666,0.76845,0.7682,0.7644,0.68055,0.68107,0.6809,0.68233,0.67898
AUC-ROC | 'No Finding' (Testing),0.86249,0.86506,0.86118,0.8649,0.86074,0.83935,0.83837,0.83832,0.83919,0.83864
AUC-ROC | 'Others' (Testing),0.74847,0.74878,0.74428,0.74708,0.74471,0.75591,0.75324,0.75556,0.75525,0.75459
AUC-ROC | 'Pleural Effusion' (Testing),0.84412,0.84312,0.84407,0.84421,0.84183,0.87163,0.87053,0.87082,0.8713,0.87039
J Index Max | 'No Finding' (Testing),0.60366,0.60513,0.59749,0.60841,0.60105,0.53064,0.53132,0.53468,0.53303,0.53397
J Index Max | 'Others' (Testing),0.3866,0.38724,0.37681,0.38582,0.37411,0.39198,0.38642,0.39178,0.3948,0.39279
J Index Max | 'Pleural Effusion' (Testing),0.53819,0.5395,0.53821,0.53529,0.53059,0.59427,0.59264,0.58768,0.59115,0.58951
J Index at 20% FPR | 'No Finding' (Testing),0.59964,0.60367,0.5915,0.60501,0.59432,0.52813,0.52897,0.53037,0.52846,0.52795
J Index at 20% FPR | 'Others' (Testing),0.35016,0.35061,0.34667,0.34741,0.34466,0.35302,0.35305,0.35223,0.35763,0.35157
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51272,0.50953,0.51287,0.51784,0.51558,0.58677,0.58629,0.5804,0.58138,0.58678
Macro AUC-PR (Testing),0.3584,0.35929,0.35822,0.35895,0.3561,0.33169,0.3319,0.33315,0.33539,0.33354
Macro AUC-PR (Validation - During Training),0.36018,0.35856,0.35782,0.35958,0.35975,0.32869,0.32862,0.3298,0.32891,0.32901
Macro AUC-PR (Validation - Final),0.35804,0.35819,0.35782,0.35922,0.3559,0.32743,0.32671,0.3274,0.32821,0.32706
Macro AUC-ROC (Testing),0.76345,0.76382,0.75976,0.76243,0.75993,0.77013,0.7677,0.76971,0.76954,0.76887
Macro AUC-ROC (Validation - During Training),0.76562,0.76304,0.76277,0.76404,0.76395,0.76736,0.76739,0.76784,0.76866,0.76774
Macro AUC-ROC (Validation - Final),0.76344,0.76206,0.76277,0.76434,0.7618,0.7666,0.76586,0.76679,0.76641,0.76609
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29705,0.29622,0.29509,0.29468,0.29496,0.27743,0.27832,0.27594,0.27874,0.27749
test_loss_step,0.25524,0.25316,0.27086,0.23279,0.25997,0.31406,0.32279,0.3096,0.31872,0.33705
train_loss_epoch,0.29727,0.29678,0.29729,0.29685,0.29735,0.27664,0.27579,0.27615,0.27621,0.27639
train_loss_step,0.31959,0.31171,0.28409,0.29748,0.25745,0.22878,0.21696,0.28922,0.25838,0.31606
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29704,0.29721,0.29711,0.29514,0.295,0.27869,0.27894,0.27713,0.27963,0.2786
val_final_loss_step,0.31824,0.27509,0.25306,0.24649,0.25875,0.21232,0.20204,0.22602,0.27497,0.24893
val_loss_epoch,0.29882,0.30664,0.29711,0.29631,0.29733,0.28215,0.28623,0.28008,0.2806,0.28153
val_loss_step,0.24461,0.32354,0.25306,0.25435,0.21955,0.22939,0.17168,0.22603,0.23246,0.23706
