Metric,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed41.luna.70498.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed42.luna.70499.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed43.luna.70500.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed44.luna.70501.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed45.luna.70502.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed41.luna.72419.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed42.luna.72420.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed43.loki.72421.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed44.mira01.72422.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p80_multirun-seed45.mira01.72423.log
AUC-PR | 'No Finding' (Testing),0.42199,0.42666,0.43508,0.43537,0.43619,0.72309,0.72288,0.71577,0.7209,0.72473
AUC-PR | 'Others' (Testing),0.34526,0.35047,0.34894,0.35193,0.35064,0.3007,0.29953,0.30211,0.30496,0.29815
AUC-PR | 'Pleural Effusion' (Testing),0.80261,0.80188,0.80122,0.79801,0.80399,0.72162,0.72826,0.72998,0.72926,0.72576
AUC-ROC | 'No Finding' (Testing),0.87164,0.87797,0.87801,0.87753,0.87474,0.8538,0.85344,0.8531,0.85382,0.85216
AUC-ROC | 'Others' (Testing),0.77093,0.77595,0.77387,0.77659,0.7775,0.7782,0.78099,0.78139,0.78371,0.78287
AUC-ROC | 'Pleural Effusion' (Testing),0.86674,0.86621,0.86649,0.86529,0.86741,0.89374,0.89566,0.89476,0.89574,0.89388
J Index Max | 'No Finding' (Testing),0.61059,0.6368,0.63228,0.61778,0.61998,0.56603,0.5656,0.56296,0.56667,0.56276
J Index Max | 'Others' (Testing),0.42037,0.42824,0.4214,0.42806,0.43103,0.43267,0.437,0.43954,0.44713,0.44204
J Index Max | 'Pleural Effusion' (Testing),0.57426,0.57202,0.57656,0.57651,0.57679,0.63203,0.64204,0.62897,0.63947,0.63285
J Index at 20% FPR | 'No Finding' (Testing),0.60407,0.62968,0.63161,0.61598,0.61745,0.56259,0.55903,0.56176,0.5628,0.56062
J Index at 20% FPR | 'Others' (Testing),0.38543,0.39653,0.3945,0.39415,0.39998,0.39039,0.39628,0.39649,0.40029,0.39665
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56652,0.55723,0.56507,0.57033,0.56781,0.62898,0.63459,0.62681,0.63699,0.62852
Macro AUC-PR (Testing),0.38341,0.38816,0.3874,0.38976,0.38913,0.36093,0.36039,0.36222,0.36498,0.35917
Macro AUC-PR (Validation - During Training),0.32414,0.32551,0.32507,0.32508,0.33347,0.30934,0.29579,0.30995,0.3127,0.30927
Macro AUC-PR (Validation - Final),0.38598,0.39059,0.39023,0.39109,0.39127,0.35812,0.3583,0.36332,0.35978,0.35736
Macro AUC-ROC (Testing),0.78496,0.78968,0.78792,0.79014,0.79087,0.79186,0.79436,0.79461,0.79672,0.79575
Macro AUC-ROC (Validation - During Training),0.72289,0.72658,0.72351,0.72353,0.72923,0.75018,0.7378,0.74808,0.75298,0.74871
Macro AUC-ROC (Validation - Final),0.7877,0.79013,0.79191,0.79209,0.79126,0.79217,0.79662,0.79896,0.79685,0.79622
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.2807,0.27829,0.27815,0.2785,0.27992,0.26287,0.264,0.26388,0.26384,0.26299
test_loss_step,0.24467,0.21299,0.22361,0.21835,0.21586,0.28747,0.31738,0.30737,0.30764,0.29746
train_loss_epoch,0.11104,0.11033,0.11224,0.11057,0.11167,0.13506,0.13506,0.13552,0.13458,0.1361
train_loss_step,0.13172,0.12285,0.10969,0.13649,0.11165,0.12006,0.10943,0.16951,0.14974,0.15857
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.28158,0.27916,0.27875,0.2809,0.28064,0.26373,0.26348,0.26355,0.26419,0.26351
val_final_loss_step,0.18943,0.24056,0.20047,0.16385,0.2089,0.2901,0.29384,0.26854,0.31076,0.29532
val_loss_epoch,0.50679,0.50644,0.5069,0.51279,0.51678,0.44968,0.4441,0.4869,0.45641,0.45065
val_loss_step,0.21896,0.49533,0.39052,0.67055,0.50473,0.2655,0.25862,0.30198,0.03799,0.08732
