Metric,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed41.loki.70811.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed42.loki.70812.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed43.loki.70813.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed44.loki.70814.log,chexpert--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed45.loki.70815.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed41.loki.72448.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed42.luna.72449.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed43.luna.72450.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed44.mira01.72451.log,mimic--cxrfmkd1664to14_fft_mse&cosinesimweighted_alpha0p90_multirun-seed45.mira01.72452.log
AUC-PR | 'No Finding' (Testing),0.45182,0.43491,0.43784,0.43939,0.44363,0.72771,0.72855,0.72665,0.72168,0.72216
AUC-PR | 'Others' (Testing),0.34917,0.34922,0.35207,0.35252,0.35271,0.31524,0.30259,0.31591,0.31427,0.31569
AUC-PR | 'Pleural Effusion' (Testing),0.80149,0.79833,0.80283,0.80218,0.80387,0.72881,0.72798,0.73379,0.72994,0.72671
AUC-ROC | 'No Finding' (Testing),0.87857,0.87793,0.87712,0.87506,0.87967,0.85571,0.85614,0.85529,0.85502,0.8545
AUC-ROC | 'Others' (Testing),0.77664,0.77708,0.7797,0.77969,0.77942,0.79044,0.78522,0.79012,0.78933,0.79021
AUC-ROC | 'Pleural Effusion' (Testing),0.86737,0.86501,0.86581,0.8662,0.8675,0.89568,0.89541,0.89665,0.89564,0.89379
J Index Max | 'No Finding' (Testing),0.62735,0.62573,0.62177,0.6164,0.62337,0.57074,0.57395,0.5717,0.56898,0.57014
J Index Max | 'Others' (Testing),0.43189,0.42764,0.43601,0.43206,0.43304,0.45068,0.44781,0.4524,0.45138,0.45661
J Index Max | 'Pleural Effusion' (Testing),0.57578,0.57076,0.56442,0.57718,0.57408,0.63693,0.63233,0.63825,0.63468,0.63104
J Index at 20% FPR | 'No Finding' (Testing),0.62061,0.61757,0.61195,0.61273,0.6181,0.56529,0.5714,0.56769,0.56575,0.56476
J Index at 20% FPR | 'Others' (Testing),0.39891,0.39865,0.40689,0.40385,0.39928,0.419,0.41091,0.41657,0.4166,0.42325
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56818,0.55718,0.55183,0.5683,0.56752,0.63606,0.62986,0.63691,0.63109,0.62802
Macro AUC-PR (Testing),0.38881,0.38742,0.39039,0.39084,0.39143,0.37425,0.3634,0.3751,0.37306,0.37408
Macro AUC-PR (Validation - During Training),0.33075,0.31431,0.33902,0.33628,0.34278,0.31714,0.3197,0.30832,0.31397,0.30348
Macro AUC-PR (Validation - Final),0.38931,0.38825,0.39357,0.39343,0.39488,0.36699,0.3601,0.36618,0.3669,0.36522
Macro AUC-ROC (Testing),0.7904,0.79057,0.7928,0.79268,0.79287,0.80262,0.79815,0.80239,0.80162,0.8022
Macro AUC-ROC (Validation - During Training),0.73456,0.71498,0.73909,0.73816,0.74353,0.75814,0.75966,0.74965,0.75386,0.74706
Macro AUC-ROC (Validation - Final),0.79133,0.78991,0.79409,0.79296,0.79428,0.80283,0.79767,0.80145,0.80019,0.80112
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27807,0.2786,0.27614,0.27724,0.27594,0.26141,0.26173,0.26025,0.26155,0.26296
test_loss_step,0.18631,0.23987,0.22206,0.25101,0.22626,0.30342,0.30284,0.29727,0.30342,0.32165
train_loss_epoch,0.13066,0.13062,0.12996,0.13024,0.12929,0.15234,0.15298,0.15343,0.15309,0.15204
train_loss_step,0.12475,0.12478,0.1408,0.12964,0.15949,0.14912,0.17692,0.17753,0.15347,0.13726
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27874,0.28043,0.27713,0.27859,0.27665,0.26136,0.26215,0.2612,0.26153,0.26263
val_final_loss_step,0.2738,0.23511,0.33426,0.25592,0.2781,0.27663,0.2936,0.30702,0.2871,0.29291
val_loss_epoch,0.43458,0.52703,0.48753,0.51975,0.47206,0.39891,0.40305,0.3594,0.36047,0.36631
val_loss_step,0.55341,0.19616,0.38731,0.70143,0.52049,0.1903,0.50798,0.2239,0.38536,0.21239
