Metric,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed41.luna.70905.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed42.luna.70807.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed43.luna.70808.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed44.luna.70809.log,chexpert--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed45.luna.70810.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed41.mira04.72443.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed42.mira05.72444.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed43.mira05.72445.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed44.mira10.72446.log,mimic--cxrfmkd_fft_mse&cosinesimweighted_alpha0p90_multirun-seed45.mira10.72447.log
AUC-PR | 'No Finding' (Testing),0.44157,0.43733,0.44345,0.4429,0.4402,0.71925,0.72154,0.71634,0.72104,0.72358
AUC-PR | 'Others' (Testing),0.35012,0.35321,0.35092,0.35023,0.34853,0.30235,0.302,0.30571,0.29987,0.30618
AUC-PR | 'Pleural Effusion' (Testing),0.801,0.79736,0.80132,0.79333,0.79243,0.72791,0.72496,0.7229,0.72094,0.72604
AUC-ROC | 'No Finding' (Testing),0.87959,0.87844,0.88082,0.87888,0.87888,0.85378,0.85191,0.8515,0.85245,0.85424
AUC-ROC | 'Others' (Testing),0.77446,0.77784,0.77297,0.77382,0.77141,0.78016,0.78033,0.78283,0.78115,0.7842
AUC-ROC | 'Pleural Effusion' (Testing),0.86509,0.86397,0.86646,0.86094,0.86185,0.8946,0.89225,0.89219,0.89277,0.89332
J Index Max | 'No Finding' (Testing),0.61891,0.62942,0.63008,0.62676,0.6276,0.57028,0.56513,0.5705,0.57046,0.56723
J Index Max | 'Others' (Testing),0.42534,0.43127,0.42241,0.42291,0.422,0.43683,0.43301,0.43765,0.44155,0.43831
J Index Max | 'Pleural Effusion' (Testing),0.5682,0.57377,0.57611,0.56728,0.56556,0.62936,0.62272,0.62845,0.62577,0.63124
J Index at 20% FPR | 'No Finding' (Testing),0.61596,0.62418,0.62828,0.61953,0.62376,0.56518,0.55767,0.5679,0.56759,0.56601
J Index at 20% FPR | 'Others' (Testing),0.39569,0.39648,0.39222,0.39489,0.38905,0.40035,0.40015,0.40535,0.40773,0.4057
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.55861,0.56593,0.56622,0.55437,0.55892,0.62714,0.62096,0.62591,0.62262,0.62569
Macro AUC-PR (Testing),0.38886,0.39094,0.3897,0.3885,0.38679,0.36252,0.36218,0.36484,0.36003,0.36599
Macro AUC-PR (Validation - During Training),0.32789,0.32543,0.32988,0.32252,0.33037,0.30323,0.30496,0.30643,0.31388,0.30638
Macro AUC-PR (Validation - Final),0.39105,0.39221,0.38962,0.38898,0.38863,0.35924,0.35715,0.36303,0.35816,0.3626
Macro AUC-ROC (Testing),0.78844,0.79118,0.78735,0.78754,0.78554,0.79359,0.79343,0.79554,0.79421,0.797
Macro AUC-ROC (Validation - During Training),0.72863,0.72072,0.72717,0.72089,0.73228,0.74047,0.74063,0.74384,0.75223,0.74342
Macro AUC-ROC (Validation - Final),0.79115,0.79194,0.7916,0.78986,0.79055,0.79572,0.7935,0.79881,0.79419,0.79789
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27849,0.27803,0.27746,0.28091,0.28018,0.26548,0.26704,0.2654,0.2656,0.2633
test_loss_step,0.23909,0.20273,0.21579,0.2208,0.22143,0.32295,0.3312,0.32129,0.30759,0.31112
train_loss_epoch,0.11515,0.11593,0.11588,0.11506,0.11593,0.14079,0.14104,0.14063,0.13946,0.14109
train_loss_step,0.14202,0.14471,0.15233,0.13748,0.11659,0.12242,0.12514,0.15972,0.13184,0.15261
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27916,0.2787,0.27829,0.28252,0.28027,0.2651,0.26615,0.26412,0.26567,0.26268
val_final_loss_step,0.23403,0.26523,0.24316,0.21229,0.24056,0.25882,0.24617,0.24189,0.21427,0.2756
val_loss_epoch,0.53555,0.52113,0.50723,0.52984,0.53442,0.40702,0.40006,0.43289,0.42243,0.40517
val_loss_step,0.48824,0.98302,0.49798,0.49151,0.34735,0.43023,0.22684,0.61612,0.30492,0.46046
