Metric,chexpert--cxrfmkd_lp_mse_multirun-seed41.luna.70146.log,chexpert--cxrfmkd_lp_mse_multirun-seed42.luna.70147.log,chexpert--cxrfmkd_lp_mse_multirun-seed43.luna.70148.log,chexpert--cxrfmkd_lp_mse_multirun-seed44.luna.70149.log,chexpert--cxrfmkd_lp_mse_multirun-seed45.luna.70150.log,mimic--cxrfmkd_lp_mse_multirun-seed41.loki.72170.log,mimic--cxrfmkd_lp_mse_multirun-seed42.loki.72171.log,mimic--cxrfmkd_lp_mse_multirun-seed43.loki.72172.log,mimic--cxrfmkd_lp_mse_multirun-seed44.loki.72173.log,mimic--cxrfmkd_lp_mse_multirun-seed45.loki.72174.log
AUC-PR | 'No Finding' (Testing),0.4099,0.41164,0.40608,0.40822,0.40506,0.70348,0.70228,0.70209,0.70391,0.70302
AUC-PR | 'Others' (Testing),0.31997,0.32067,0.31985,0.32027,0.3166,0.26974,0.26949,0.27179,0.27266,0.27185
AUC-PR | 'Pleural Effusion' (Testing),0.76705,0.7658,0.76623,0.76622,0.7623,0.68239,0.68246,0.68237,0.68482,0.68155
AUC-ROC | 'No Finding' (Testing),0.86133,0.86349,0.86061,0.86367,0.86019,0.83951,0.8384,0.83854,0.83944,0.83878
AUC-ROC | 'Others' (Testing),0.75018,0.74884,0.74491,0.74771,0.74535,0.75385,0.75082,0.75337,0.75302,0.75225
AUC-ROC | 'Pleural Effusion' (Testing),0.84274,0.84267,0.84244,0.84245,0.84011,0.87026,0.86914,0.86934,0.87039,0.8696
J Index Max | 'No Finding' (Testing),0.59389,0.59831,0.59532,0.60205,0.59424,0.53095,0.53514,0.53782,0.53786,0.53763
J Index Max | 'Others' (Testing),0.38947,0.38402,0.37431,0.3851,0.38073,0.39053,0.38654,0.39319,0.39339,0.38964
J Index Max | 'Pleural Effusion' (Testing),0.53286,0.53354,0.53856,0.53543,0.53059,0.59557,0.59006,0.58962,0.58981,0.58936
J Index at 20% FPR | 'No Finding' (Testing),0.58642,0.59334,0.58963,0.59986,0.59284,0.53084,0.53028,0.53546,0.53411,0.53354
J Index at 20% FPR | 'Others' (Testing),0.35479,0.34945,0.34891,0.35093,0.34581,0.34613,0.34491,0.34622,0.34825,0.34796
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51534,0.51291,0.51556,0.51711,0.51002,0.57199,0.57681,0.57108,0.57474,0.57828
Macro AUC-PR (Testing),0.35833,0.35896,0.35789,0.3584,0.35475,0.3302,0.3299,0.33185,0.33291,0.33191
Macro AUC-PR (Validation - During Training),0.35971,0.35801,0.35763,0.35847,0.35912,0.32919,0.32946,0.33067,0.32913,0.32965
Macro AUC-PR (Validation - Final),0.35784,0.35768,0.35763,0.35798,0.35472,0.32751,0.3272,0.32813,0.32918,0.32822
Macro AUC-ROC (Testing),0.76473,0.76373,0.76014,0.76276,0.76032,0.76828,0.76553,0.76773,0.76758,0.76681
Macro AUC-ROC (Validation - During Training),0.76558,0.76336,0.763,0.76343,0.7641,0.76766,0.76809,0.76818,0.76887,0.7687
Macro AUC-ROC (Validation - Final),0.76376,0.76393,0.763,0.76402,0.76145,0.76728,0.76582,0.76726,0.76692,0.76638
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29701,0.29755,0.29536,0.29486,0.29581,0.27742,0.27909,0.27582,0.27857,0.27783
test_loss_step,0.25281,0.27133,0.26218,0.22651,0.25551,0.31355,0.32256,0.30975,0.31755,0.33648
train_loss_epoch,0.29745,0.29685,0.29746,0.29701,0.29747,0.27675,0.27596,0.2763,0.27627,0.27651
train_loss_step,0.31339,0.31129,0.28329,0.30277,0.25292,0.22779,0.21682,0.28814,0.25831,0.31761
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29686,0.29724,0.29697,0.2952,0.29561,0.27843,0.27935,0.27656,0.27932,0.27875
val_final_loss_step,0.30804,0.28619,0.24715,0.24391,0.24864,0.21123,0.19828,0.21917,0.26509,0.25157
val_loss_epoch,0.29921,0.30609,0.29697,0.29653,0.29825,0.28162,0.28594,0.28071,0.28025,0.28206
val_loss_step,0.23059,0.31427,0.24715,0.24572,0.20796,0.22849,0.18961,0.24044,0.22115,0.24674
