Metric,chexpert--cxrmod_fft_multirun-seed41.loki.69937.log,chexpert--cxrmod_fft_multirun-seed42.loki.69938.log,chexpert--cxrmod_fft_multirun-seed43.loki.69939.log,chexpert--cxrmod_fft_multirun-seed44.loki.69940.log,chexpert--cxrmod_fft_multirun-seed45.loki.69941.log,mimic--cxrmod_fft_multirun-seed41.luna.70917.log,mimic--cxrmod_fft_multirun-seed42.luna.70918.log,mimic--cxrmod_fft_multirun-seed43.luna.70919.log,mimic--cxrmod_fft_multirun-seed44.luna.70920.log,mimic--cxrmod_fft_multirun-seed45.luna.70921.log
AUC-PR | 'No Finding' (Testing),0.42563,0.40773,0.43114,0.42311,0.41685,0.719,0.72091,0.72137,0.71681,0.71981
AUC-PR | 'Others' (Testing),0.33866,0.34065,0.33976,0.33941,0.34591,0.31252,0.31084,0.30748,0.30493,0.30866
AUC-PR | 'Pleural Effusion' (Testing),0.80433,0.80378,0.7967,0.79539,0.79985,0.72672,0.73462,0.72434,0.72558,0.72206
AUC-ROC | 'No Finding' (Testing),0.87471,0.86848,0.87294,0.86991,0.87253,0.84978,0.85198,0.85029,0.84597,0.84988
AUC-ROC | 'Others' (Testing),0.76221,0.76857,0.76468,0.76294,0.77055,0.78791,0.78485,0.78239,0.77979,0.78082
AUC-ROC | 'Pleural Effusion' (Testing),0.86645,0.86541,0.86458,0.8626,0.86451,0.89478,0.89635,0.89427,0.89102,0.89427
J Index Max | 'No Finding' (Testing),0.60998,0.61231,0.61646,0.60829,0.61272,0.55646,0.56345,0.56372,0.55447,0.56824
J Index Max | 'Others' (Testing),0.40927,0.41657,0.40751,0.40378,0.41497,0.44625,0.44398,0.44048,0.43536,0.43683
J Index Max | 'Pleural Effusion' (Testing),0.58049,0.57053,0.58355,0.57262,0.58402,0.64061,0.64008,0.6335,0.62713,0.64161
J Index at 20% FPR | 'No Finding' (Testing),0.60639,0.60996,0.61506,0.60672,0.61106,0.55147,0.5619,0.55836,0.55131,0.56574
J Index at 20% FPR | 'Others' (Testing),0.3613,0.37534,0.37054,0.37721,0.38369,0.41158,0.40523,0.39661,0.39891,0.40041
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.57075,0.56657,0.56856,0.55856,0.57289,0.63981,0.63713,0.63162,0.62288,0.63579
Macro AUC-PR (Testing),0.37814,0.37852,0.37892,0.37796,0.3834,0.37114,0.3704,0.36682,0.3644,0.36756
Macro AUC-PR (Validation - During Training),0.36315,0.36705,0.3662,0.33725,0.37013,0.34274,0.34018,0.33522,0.34136,0.33794
Macro AUC-PR (Validation - Final),0.38046,0.38117,0.38306,0.37914,0.38606,0.36208,0.36219,0.35793,0.357,0.36162
Macro AUC-ROC (Testing),0.77769,0.78263,0.77955,0.7777,0.78455,0.79997,0.79761,0.79523,0.79246,0.79386
Macro AUC-ROC (Validation - During Training),0.76441,0.76865,0.77103,0.74147,0.76694,0.78097,0.7817,0.77988,0.78328,0.78186
Macro AUC-ROC (Validation - Final),0.7808,0.78335,0.78295,0.7818,0.78835,0.79872,0.80143,0.79596,0.79599,0.79937
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.28448,0.2831,0.28348,0.28572,0.28337,0.26404,0.26654,0.26363,0.26614,0.26456
test_loss_step,0.21701,0.2431,0.24702,0.20985,0.22902,0.33265,0.32138,0.30474,0.31795,0.30486
train_loss_epoch,0.23274,0.23548,0.23576,0.23144,0.23775,0.22096,0.22165,0.22177,0.22339,0.22071
train_loss_step,0.19671,0.21691,0.24832,0.23353,0.22293,0.2154,0.26164,0.22763,0.2106,0.19782
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.28532,0.28384,0.28432,0.28617,0.28403,0.26432,0.26624,0.26448,0.2657,0.26441
val_final_loss_step,0.29053,0.255,0.16177,0.22259,0.23258,0.26303,0.25931,0.2615,0.29825,0.24836
val_loss_epoch,0.30612,0.30834,0.30344,0.33661,0.31128,0.28141,0.27994,0.28426,0.28094,0.29635
val_loss_step,0.52477,0.24877,0.34825,0.26301,0.25507,0.29461,0.26859,0.2169,0.22049,0.32132
