Metric,chexpert--cxrmod_lp_multirun-seed41.loki.69923.log,chexpert--cxrmod_lp_multirun-seed42.loki.69924.log,chexpert--cxrmod_lp_multirun-seed43.loki.69925.log,chexpert--cxrmod_lp_multirun-seed44.loki.69926.log,chexpert--cxrmod_lp_multirun-seed45.loki.69927.log,mimic--cxrmod_lp_multirun-seed41.loki.70911.log,mimic--cxrmod_lp_multirun-seed42.loki.70912.log,mimic--cxrmod_lp_multirun-seed43.loki.70913.log,mimic--cxrmod_lp_multirun-seed44.loki.70914.log,mimic--cxrmod_lp_multirun-seed45.loki.70915.log
AUC-PR | 'No Finding' (Testing),0.32508,0.32636,0.32078,0.32688,0.3238,0.64015,0.63858,0.64112,0.64055,0.64034
AUC-PR | 'Others' (Testing),0.25428,0.2547,0.25514,0.25593,0.25432,0.2247,0.22623,0.22714,0.22668,0.22589
AUC-PR | 'Pleural Effusion' (Testing),0.64937,0.65214,0.65249,0.65132,0.65081,0.5625,0.55641,0.566,0.5614,0.56143
AUC-ROC | 'No Finding' (Testing),0.81224,0.8117,0.81007,0.81078,0.81038,0.79358,0.79313,0.79363,0.7934,0.79396
AUC-ROC | 'Others' (Testing),0.6858,0.68763,0.68504,0.68757,0.68592,0.70114,0.70117,0.70251,0.70558,0.70315
AUC-ROC | 'Pleural Effusion' (Testing),0.75893,0.7601,0.7617,0.76062,0.75969,0.80488,0.80471,0.80455,0.80477,0.80487
J Index Max | 'No Finding' (Testing),0.48811,0.49315,0.48643,0.48515,0.49199,0.45501,0.45677,0.45746,0.45666,0.45765
J Index Max | 'Others' (Testing),0.28474,0.28713,0.28249,0.28734,0.28792,0.31004,0.30934,0.31117,0.31789,0.31439
J Index Max | 'Pleural Effusion' (Testing),0.39652,0.39956,0.40562,0.4034,0.39496,0.47112,0.47342,0.47084,0.47512,0.47419
J Index at 20% FPR | 'No Finding' (Testing),0.47301,0.46596,0.45726,0.46915,0.47397,0.44125,0.44361,0.44749,0.44557,0.4446
J Index at 20% FPR | 'Others' (Testing),0.22731,0.23434,0.22766,0.23648,0.23213,0.25971,0.26788,0.26461,0.26801,0.2639
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.34205,0.34204,0.34407,0.33986,0.33232,0.43279,0.4379,0.43613,0.43784,0.44199
Macro AUC-PR (Testing),0.28755,0.28821,0.28821,0.28924,0.2876,0.27851,0.27927,0.28091,0.28015,0.27946
Macro AUC-PR (Validation - During Training),0.28817,0.288,0.28913,0.28843,0.28842,0.27302,0.27319,0.27292,0.2729,0.27272
Macro AUC-PR (Validation - Final),0.28658,0.2877,0.28748,0.28625,0.28569,0.273,0.27278,0.27257,0.27313,0.27263
Macro AUC-ROC (Testing),0.70006,0.70167,0.69944,0.70159,0.70008,0.71515,0.71513,0.7163,0.71894,0.7169
Macro AUC-ROC (Validation - During Training),0.69642,0.69558,0.69663,0.69657,0.69654,0.71755,0.71616,0.71455,0.71537,0.71745
Macro AUC-ROC (Validation - Final),0.69447,0.69556,0.69676,0.6935,0.69423,0.71613,0.71648,0.71538,0.71676,0.71887
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.32153,0.32161,0.32068,0.32088,0.3222,0.29745,0.29757,0.29746,0.29757,0.2969
test_loss_step,0.2648,0.25482,0.28078,0.26659,0.25379,0.34209,0.34355,0.34696,0.35196,0.35022
train_loss_epoch,0.32209,0.322,0.32212,0.32222,0.32199,0.297,0.29693,0.29686,0.29666,0.29665
train_loss_step,0.28993,0.28557,0.3145,0.30862,0.29002,0.29134,0.32702,0.28273,0.29632,0.26952
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.32133,0.32063,0.32079,0.32124,0.32105,0.29674,0.29656,0.29688,0.29693,0.29635
val_final_loss_step,0.26683,0.25487,0.24962,0.25187,0.27007,0.31291,0.27363,0.30147,0.27748,0.29324
val_loss_epoch,0.32152,0.32181,0.32198,0.32373,0.32202,0.30018,0.29805,0.29779,0.29869,0.30003
val_loss_step,0.28068,0.27102,0.25105,0.28511,0.28886,0.26357,0.31493,0.26342,0.31315,0.30422
