Metric,chexpert--resnet50_fft_multirun-seed41.loki.69951.log,chexpert--resnet50_fft_multirun-seed42.loki.69952.log,chexpert--resnet50_fft_multirun-seed43.loki.69953.log,chexpert--resnet50_fft_multirun-seed44.loki.69954.log,chexpert--resnet50_fft_multirun-seed45.loki.69955.log,mimic--resnet50_fft_multirun-seed41.luna.72040.log,mimic--resnet50_fft_multirun-seed42.luna.72043.log,mimic--resnet50_fft_multirun-seed43.luna.72044.log,mimic--resnet50_fft_multirun-seed44.luna.72045.log,mimic--resnet50_fft_multirun-seed45.luna.72046.log
AUC-PR | 'No Finding' (Testing),0.40816,0.4165,0.40455,0.42854,0.43012,0.71933,0.71553,0.71805,0.7173,0.71636
AUC-PR | 'Others' (Testing),0.33903,0.34056,0.33096,0.34359,0.34258,0.30346,0.30068,0.30142,0.30337,0.3034
AUC-PR | 'Pleural Effusion' (Testing),0.79953,0.79753,0.79527,0.80188,0.79378,0.6999,0.70617,0.72124,0.72246,0.72806
AUC-ROC | 'No Finding' (Testing),0.86661,0.86661,0.87008,0.87703,0.87477,0.84743,0.84659,0.84811,0.84488,0.84839
AUC-ROC | 'Others' (Testing),0.76142,0.75953,0.75583,0.76677,0.76872,0.77714,0.77909,0.77794,0.77591,0.78076
AUC-ROC | 'Pleural Effusion' (Testing),0.86466,0.86242,0.86284,0.86679,0.8625,0.88423,0.88276,0.89064,0.89106,0.89604
J Index Max | 'No Finding' (Testing),0.59816,0.59036,0.60122,0.61662,0.61897,0.55445,0.56132,0.56285,0.55357,0.56047
J Index Max | 'Others' (Testing),0.40597,0.40048,0.39536,0.41123,0.41671,0.42999,0.43412,0.43156,0.42704,0.43717
J Index Max | 'Pleural Effusion' (Testing),0.57747,0.57108,0.5752,0.57815,0.57807,0.60987,0.60759,0.6246,0.62726,0.64004
J Index at 20% FPR | 'No Finding' (Testing),0.59372,0.58446,0.59438,0.61444,0.6123,0.54823,0.55395,0.56128,0.55259,0.55561
J Index at 20% FPR | 'Others' (Testing),0.37025,0.37051,0.36406,0.37897,0.37581,0.39694,0.3953,0.39165,0.3936,0.39596
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.56528,0.55233,0.56058,0.57089,0.56086,0.60208,0.60055,0.61691,0.6234,0.63828
Macro AUC-PR (Testing),0.37686,0.37862,0.36938,0.38239,0.38107,0.36148,0.35928,0.36116,0.36287,0.36323
Macro AUC-PR (Validation - During Training),0.33779,0.31996,0.3367,0.33088,0.35208,0.32974,0.2742,0.31,0.33006,0.32425
Macro AUC-PR (Validation - Final),0.37481,0.37764,0.36605,0.37937,0.38083,0.34541,0.34659,0.35259,0.35189,0.35244
Macro AUC-ROC (Testing),0.77631,0.77452,0.77163,0.78179,0.78299,0.78981,0.79132,0.791,0.78906,0.79382
Macro AUC-ROC (Validation - During Training),0.74321,0.72342,0.74056,0.73857,0.75383,0.76782,0.71754,0.75686,0.77287,0.76825
Macro AUC-ROC (Validation - Final),0.77873,0.77979,0.77169,0.78415,0.78203,0.78645,0.78784,0.79062,0.79293,0.7907
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.28336,0.28705,0.29011,0.28483,0.2808,0.27134,0.26693,0.26797,0.26951,0.26601
test_loss_step,0.26319,0.23119,0.21274,0.19668,0.22068,0.2899,0.29575,0.32308,0.30286,0.30875
train_loss_epoch,0.20382,0.20676,0.20465,0.20105,0.20538,0.19933,0.19644,0.20356,0.2017,0.20178
train_loss_step,0.19768,0.21207,0.1931,0.19411,0.19583,0.1865,0.18799,0.17861,0.20889,0.18643
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.28586,0.28816,0.29169,0.28662,0.28295,0.27398,0.26792,0.26961,0.27085,0.26714
val_final_loss_step,0.24217,0.32699,0.28202,0.32639,0.23146,0.27989,0.28591,0.29602,0.26585,0.30413
val_loss_epoch,0.35762,0.41491,0.37905,0.3599,0.34968,0.29841,0.3725,0.32513,0.31566,0.30519
val_loss_step,0.19452,0.25675,0.28356,0.41818,0.40988,0.34866,0.39674,0.31784,0.31375,0.28374
